This file was created by using the 202605 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios,,
minus the average of the returns on two low prior return portfolios.  The portfolios,,
are constructed daily.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous day; small firms are below the median NYSE market cap.,,
Prior return is measured from day - 250 to - 21.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,Mom,
19291205,0.51,
19291206,-0.44,
19291207,-0.38,
19291209,-2.32,
19291210,-1.46,
19291211,1.17,
19291212,2.9,
19291213,-1.84,
19291214,-1.21,
19291216,0.8,
19291217,0.24,
19291218,0.17,
19291219,2.42,
19291220,2.28,
19291221,-1.56,
19291223,0.96,
19291224,-0.13,
19291226,-0.79,
19291227,0.67,
19291228,0.66,
19291230,1.22,
19291231,-0.82,
19300102,-1.23,
19300103,-0.56,
19300104,0.26,
19300106,-1.37,
19300107,1.14,
19300108,0.37,
19300109,0.42,
19300110,-0.14,
19300111,0.73,
19300113,-0.55,
19300114,0.78,
19300115,0.58,
19300116,1.6,
19300117,0.46,
19300118,-0.36,
19300120,-0.89,
19300121,-1.67,
19300122,-1.1,
19300123,-1.78,
19300124,-0.81,
19300125,0.12,
19300127,-0.02,
19300128,1.27,
19300129,-0.21,
19300130,-0.2,
19300131,-0.59,
19300201,-1.76,
19300203,-0.22,
19300204,-0.27,
19300205,-0.29,
19300206,0.55,
19300207,0.66,
19300208,-0.72,
19300210,0.14,
19300211,-0.21,
19300213,0.47,
19300214,1.19,
19300215,0.13,
19300217,-0.93,
19300218,-0.18,
19300219,0.39,
19300220,0.32,
19300221,-1.26,
19300224,0.38,
19300225,-0.4,
19300226,-0.43,
19300227,-0.5,
19300228,-0.31,
19300301,0.3,
19300303,-0.12,
19300304,-0.35,
19300305,0.82,
19300306,0.35,
19300307,-0.74,
19300308,0.33,
19300310,-1.71,
19300311,-0.93,
19300312,0.54,
19300313,0.08,
19300314,0.38,
19300315,0,
19300317,-1.37,
19300318,0.64,
19300319,0.98,
19300320,-0.23,
19300321,-0.24,
19300322,0.35,
19300324,-0.55,
19300325,0.35,
19300326,0.43,
19300327,-0.66,
19300328,0.87,
19300329,-0.38,
19300331,-1.49,
19300401,-0.55,
19300402,0.27,
19300403,-0.44,
19300404,-0.45,
19300405,-0.04,
19300407,-0.8,
19300408,-0.53,
19300409,-1.08,
19300410,-0.23,
19300411,1.01,
19300412,-0.93,
19300414,0.3,
19300415,0.65,
19300416,-0.97,
19300417,0.47,
19300421,-0.58,
19300422,0.54,
19300423,-0.05,
19300424,0.37,
19300425,0.66,
19300426,0.5,
19300428,0.46,
19300429,0.65,
19300430,0.72,
