suspect_cik,org_name,n_records,resolved_cik,grade,still_maps_to_suspect,evidence
19617,"Morgan Truck Body, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"American Alarm & Communications, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Centerline Communications, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,CenturyLink Communications,2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Cleo Communications US, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Communications & Power Industries LLC,1,1000564.0,VERIFIED,False,EDGAR name: COMMUNICATIONS & POWER INDUSTRIES INC
1034054,Entercom Communications Corp.,1,1067837.0,VERIFIED,False,"EDGAR name: AUDACY, INC."
1034054,"Focus Medical Communications, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Forum Communications Company,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Frontier Communications Parent, Inc.",13,20520.0,VERIFIED,False,EDGAR name: CITIZENS COMMUNICATIONS CO
1034054,"IES Communications, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Mediacom Communications Corporation,1,1098659.0,VERIFIED,False,EDGAR name: MEDIACOM COMMUNICATIONS CORP
1034054,Mediant Communications Inc.,3,1567336.0,VERIFIED,False,EDGAR name: MEDIANT COMMUNICATIONS INC.
1034054,"Newcourse Communications, Inc.",11,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Nuance Communications Inc,1,,AMBIGUOUS,False,"Candidates: 1002517 (NUANCE COMMUNICATIONS, INC.) | 1102556 (NUANCE COMMUNICATIONS) || legacy ticker"
1034054,"Nuance Communications, Inc.",5,,AMBIGUOUS,False,"Candidates: 1002517 (NUANCE COMMUNICATIONS, INC.) | 1102556 (NUANCE COMMUNICATIONS) || legacy ticker"
1034054,"Orbus Visual Communications, LLC",3,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Prime Communications,2,1570434.0,VERIFIED,False,EDGAR name: PRIME COMMUNICATIONS INC
1034054,Shawmut Communications Group,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Sorenson Communications,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,Suddenlink Communications,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Sumner Communications, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Superior Communications, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"SupraNet Communications, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Window to the World Communications, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1034054,"Woodward Communications, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,Change Healthcare Inc.,1,,AMBIGUOUS,False,Candidates: 1414847 (CHANGE HEALTHCARE CORP) | 1756497 (CHANGE HEALTHCARE INC.) || legacy ticker: GE
1932393,Cornerstone Healthcare Group Management Services LLC,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,"Healthcare Fiscal Management, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,Horizon Healthcare RCM,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,"Medical Healthcare Solutions, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,"NextGen Healthcare, Inc.",2,708818.0,VERIFIED,False,"EDGAR name: NEXTGEN HEALTHCARE, INC."
1932393,Synergy Healthcare Services,2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,"SysInformation Healthcare Services, LLC",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1932393,"The iRemedy Healthcare Companies, Inc.",1,1691249.0,VERIFIED,False,"EDGAR name: IREMEDY HEALTHCARE COMPANIES, INC."
1932393,"Xerox State Healthcare, LLC",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1755336,Home Box Office,1,1457937.0,VERIFIED,False,"EDGAR name: HOME BOX OFFICE, INC."
1755336,"Home Box Office, Inc.",4,1457937.0,VERIFIED,False,"EDGAR name: HOME BOX OFFICE, INC."
1755336,Time Warner Inc.,4,,AMBIGUOUS,False,Candidates: 736157 (TIME WARNER COMPANIES INC) | 1021387 (HISTORIC TW INC) | 1105705 (AOL TIME WARNE
1755336,TimeWarner,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1755336,Warner Bros. Distributing Inc.,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
1755336,Warner Music Group,5,,AMBIGUOUS,False,"Candidates: 1309952 (WARNER MUSIC GROUP INC) | 1319161 (WARNER MUSIC GROUP CORP., WMG) || legacy tic"
1755336,Warner Music Group Corp,1,,AMBIGUOUS,False,"Candidates: 1309952 (WARNER MUSIC GROUP INC) | 1319161 (WARNER MUSIC GROUP CORP., WMG) || legacy tic"
1755336,"Warner Music, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
