org_name,breach_date,cik,resolved_cik,resolution_source,resolution_category
Facebook,2018-09-01,1326801,1326801.0,SEC name: FACEBOOK INC,CIK_UNCHANGED
Facebook,2018-03-01,1326801,1326801.0,SEC name: FACEBOOK INC,CIK_UNCHANGED
"Facebook, Inc.",2008-06-09,1326801,1326801.0,SEC name: FACEBOOK INC,CIK_UNCHANGED
"FedEx Ground Package System, Inc.",2011-05-01,1048911,,,LOST_RESOLUTION
Festo Corporation,2021-01-01,874761,,,LOST_RESOLUTION
Festo Corporation,2021-02-01,874761,,,LOST_RESOLUTION
FGX International Inc.,2020-05-07,5272,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-09-19,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-05-31,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-06-26,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-07-17,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-05-01,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-09-08,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-11-20,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2007-09-24,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-05-27,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-10-06,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-05-29,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-06-21,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-11-09,1136893,,,LOST_RESOLUTION
"Fidelity National Information Services, Inc.",2023-07-21,1136893,,,LOST_RESOLUTION
Fidelity National Technology Imaging (FNTI),2011-06-10,1136893,,,LOST_RESOLUTION
"Financial Business and Consumer Solutions, Inc.",2024-02-14,713676,,,LOST_RESOLUTION
"Financial Business and Consumer Solutions, Inc.",2024-02-09,713676,,,LOST_RESOLUTION
"Financial Risk Mitigation, Inc.",2023-09-28,713676,,,LOST_RESOLUTION
First American Financial Corporation,2023-12-18,713676,,,LOST_RESOLUTION
Fiserv,2021-09-25,798354,798354.0,SEC name: FISERV INC,CIK_UNCHANGED
Fiserv,2023-12-06,798354,798354.0,SEC name: FISERV INC,CIK_UNCHANGED
"Fiserv, Inc.",2008-12-02,798354,798354.0,SEC name: FISERV INC,CIK_UNCHANGED
Fluke Corporation,2023-01-25,1065696,,,LOST_RESOLUTION
Flutter International Inc.,2023-05-30,5272,,,LOST_RESOLUTION
"Focus Medical Communications, LLC",2021-10-12,1034054,,,LOST_RESOLUTION
Forum Communications Company,2025-01-14,1034054,,,LOST_RESOLUTION
Fox Entertainment Group,2009-04-09,1308161,,,LOST_RESOLUTION
Fox Entertainment Group Inc.,2009-04-15,1308161,,,LOST_RESOLUTION
Fox Group,2010-02-08,1308161,1145813.0,SEC name: FOX GROUP INC,CIK_CORRECTED
Fox News LLC,2018-03-13,1308161,,,LOST_RESOLUTION
Franklin International,2021-10-18,5272,,,LOST_RESOLUTION
