cik,org_name,breach_date,actual_car,synthetic_car,treatment_effect,n_donors,max_weight,hhi_weights
1283699,Sprint Corporation,2017-05-01,-7.1273,-0.5371999570217065,-6.590100042978293,523,0.9999999469688735,0.9999998939377498
1283699,Sprint Corporation,2015-08-17,6.8116,0.3583874384272594,6.453212561572741,523,0.01738641465100477,0.003126134115330082
1283699,Sprint Corporation,2018-03-02,0.8704,0.27003870843956773,0.6003612915604322,523,0.02736823290621177,0.0029683564952189137
1283699,Sprint Corporation,2019-08-13,0.3097,5.813499707180581,-5.503799707180581,523,0.9999999505350935,0.9999999010701894
1283699,Sprint Corporation,2019-05-09,2.2085,0.17235233706435538,2.0361476629356448,523,0.03114938927976486,0.003980419791131838
1283699,T-Mobile,2021-02-20,4.2088,-0.09449880570013089,4.303298805700131,523,0.07402413367020093,0.007949534461601609
1283699,T-Mobile,2013-11-01,-5.4603,0.16150187982945471,-5.621801879829455,523,0.01070417117522257,0.0026657689435075453
1283699,T-Mobile,2023-02-24,2.4228,-0.1645716103435724,2.5873716103435727,523,0.024027717281585797,0.0036565169289131715
1283699,T-Mobile,2022-11-25,1.7845,1.7844999317957235,6.820427644882443e-08,523,0.9999999664113689,0.9999999328227389
1283699,T-Mobile,2022-03-08,2.3183,-0.2572170620359159,2.5755170620359156,523,0.02333772087120687,0.0033352517116099355
1283699,T-Mobile,2020-08-31,3.4673,-0.33815237237950785,3.8054523723795075,523,0.01681829333112053,0.0027794451600368095
1283699,T-Mobile,2021-03-31,7.8036,-0.09449880570013089,7.898098805700132,523,0.07402413367020093,0.007949534461601609
1283699,T-Mobile,2021-01-18,-7.7084,-0.09449880570013089,-7.613901194299869,523,0.07402413367020093,0.007949534461601609
1283699,"T-Mobile US, Inc.",2020-08-27,-0.1464,-0.33815237237950785,0.19175237237950785,523,0.01681829333112053,0.0027794451600368095
1283699,"T-Mobile US, Inc.",2021-01-18,-7.7084,-0.09449880570013089,-7.613901194299869,523,0.07402413367020093,0.007949534461601609
1283699,T-Mobile USA,2019-11-26,-2.6967,-0.0650141758148772,-2.631685824185123,523,0.031187310507813,0.0037956693126858557
1283699,T-Mobile USA,2023-04-28,-18.131,-0.18006086957563086,-17.95093913042437,523,0.030712916872750465,0.004380672127612429
1283699,T-Mobile USA,2021-08-17,-7.238,-0.13368683164998885,-7.104313168350012,523,0.035151707690195426,0.0039016435667719165
1283699,T-Mobile USA,2021-08-26,-12.2246,-0.13368683164998885,-12.090913168350012,523,0.035151707690195426,0.0039016435667719165
1283699,T-Mobile USA,2015-09-14,0.1446,0.3583874384272594,-0.2137874384272594,523,0.01738641465100477,0.003126134115330082
1283699,T-Mobile USA Inc,2015-11-04,5.9601,0.36823045395734133,5.591869546042658,523,0.01376827385557498,0.0030628038171890085
1283699,T-Mobile USA Inc,2019-11-26,-2.6967,-0.0650141758148772,-2.631685824185123,523,0.031187310507813,0.0037956693126858557
1283699,T-Mobile USA Inc.,2018-08-20,3.924,0.36925870264723376,3.5547412973527663,523,0.013067651899187302,0.0030753226004983404
1283699,T-Mobile USA Inc.,2015-09-14,0.1446,0.3583874384272594,-0.2137874384272594,523,0.01738641465100477,0.003126134115330082
1283699,T-Mobile USA Inc.,2015-10-01,-9.7058,0.36823045395734133,-10.074030453957342,523,0.01376827385557498,0.0030628038171890085
1283699,"T-Mobile USA, Inc.",2017-08-24,-7.0612,0.23826554189143798,-7.299465541891438,523,0.022052717072242017,0.0032215463686389974
1283699,"T-Mobile USA, Inc.",2015-09-14,0.1446,0.3583874384272594,-0.2137874384272594,523,0.01738641465100477,0.003126134115330082
1283699,"T-Mobile USA, Inc.",2021-02-12,0.36,-0.09449880570013089,0.4544988057001309,523,0.07402413367020093,0.007949534461601609
1283699,"T-Mobile USA, Inc.",2017-09-16,-0.1198,0.23826554189143798,-0.35806554189143797,523,0.022052717072242017,0.0032215463686389974
1283699,"T-Mobile USA, Inc.",2013-11-26,21.8845,0.16150187982945471,21.722998120170544,523,0.01070417117522257,0.0026657689435075453
1283699,"T-Mobile USA, Inc.",2015-09-15,-5.8577,0.3583874384272594,-6.21608743842726,523,0.01738641465100477,0.003126134115330082
1283699,"T-Mobile USA, Inc.",2023-02-01,-1.4896,-0.1645716103435724,-1.3250283896564277,523,0.024027717281585797,0.0036565169289131715
1283699,"T-Mobile USA, Inc.",2014-01-02,-6.4981,0.3800800474184777,-6.8781800474184775,523,0.008711213261266483,0.003056353243409232
1283699,"T-Mobile USA, Inc.",2021-08-13,-12.2988,-0.13368683164998885,-12.165113168350011,523,0.035151707690195426,0.0039016435667719165
1283699,"T-Mobile USA, Inc.",2021-03-01,2.1371,-0.09449880570013089,2.231598805700131,523,0.07402413367020093,0.007949534461601609
1283699,"T-Mobile, USA",2023-02-01,-1.4896,-0.1645716103435724,-1.3250283896564277,523,0.024027717281585797,0.0036565169289131715
732712,Verizon,2023-05-11,-8.181,-0.18452060288279323,-7.996479397117206,523,0.020935572464636537,0.0032282417449389263
732712,Verizon,2016-08-10,-2.8656,0.19795676205670115,-3.0635567620567015,523,0.07059721553703414,0.008628312365677456
732712,Verizon,2017-07-20,10.237,0.04289565048029417,10.194104349519707,523,0.01645848865658988,0.0028037914628307238
