org_name,cik,match_type,source
T-Mobile USA,,EXACT_AMBIGUOUS,"Multiple CIKs: [1097609, 1578078]"
T-Mobile USA Inc,,EXACT_AMBIGUOUS,"Multiple CIKs: [1097609, 1578078]"
T-Mobile USA Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1097609, 1578078]"
"T-Mobile USA, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1097609, 1578078]"
"T-Mobile, USA",,EXACT_AMBIGUOUS,"Multiple CIKs: [1097609, 1578078]"
"T. Rowe Price Retirement Plan Services, Inc.",1387793.0,EXACT_UNAMBIGUOUS,"SEC name: T. ROWE PRICE RETIREMENT PLAN SERVICES, INC."
The Boeing Company,12927.0,EXACT_UNAMBIGUOUS,SEC name: BOEING CO
The Hershey Company,47111.0,EXACT_UNAMBIGUOUS,SEC name: HERSHEY CO
The Home Depot,354950.0,EXACT_UNAMBIGUOUS,SEC name: HOME DEPOT INC
The J.M. Smucker Company,,EXACT_AMBIGUOUS,"Multiple CIKs: [91419, 1532058, 1553211]"
The Walt Disney Company,,EXACT_AMBIGUOUS,"Multiple CIKs: [926480, 1001039, 1744489]"
"The iRemedy Healthcare Companies, Inc.",1691249.0,EXACT_UNAMBIGUOUS,"SEC name: IREMEDY HEALTHCARE COMPANIES, INC."
Time Warner Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [736157, 1021387, 1105705]"
Twilio,1447669.0,EXACT_UNAMBIGUOUS,SEC name: TWILIO INC
"Twitter, Inc.",1418091.0,EXACT_UNAMBIGUOUS,SEC name: TWITTER INC
"Tyler Technologies, Inc.",860731.0,EXACT_UNAMBIGUOUS,SEC name: TYLER CORP /NEW/
Uber,1431473.0,EXACT_UNAMBIGUOUS,SEC name: UBER INC
Uber Technologies,1543151.0,EXACT_UNAMBIGUOUS,"SEC name: UBER TECHNOLOGIES, INC"
Uber Technologies Inc,1543151.0,EXACT_UNAMBIGUOUS,"SEC name: UBER TECHNOLOGIES, INC"
Uber Technologies Inc.,1543151.0,EXACT_UNAMBIGUOUS,"SEC name: UBER TECHNOLOGIES, INC"
"Uber Technologies, Inc.",1543151.0,EXACT_UNAMBIGUOUS,"SEC name: UBER TECHNOLOGIES, INC"
United Airlines,319687.0,EXACT_UNAMBIGUOUS,SEC name: CONTINENTAL AIRLINES INC /DE/
"VMware, Inc.",1124610.0,EXACT_UNAMBIGUOUS,SEC name: VMWARE LLC
Verizon Communications,732712.0,EXACT_UNAMBIGUOUS,SEC name: BELL ATLANTIC CORP
Verizon Communications Inc,732712.0,EXACT_UNAMBIGUOUS,SEC name: BELL ATLANTIC CORP
Verizon Communications Inc.,732712.0,EXACT_UNAMBIGUOUS,SEC name: BELL ATLANTIC CORP
Vmware Inc,1124610.0,EXACT_UNAMBIGUOUS,SEC name: VMWARE LLC
"Volkswagen Group of America, Inc.",1834695.0,EXACT_UNAMBIGUOUS,"SEC name: VOLKSWAGEN GROUP OF AMERICA, INC."
Vulcan Industries,1260451.0,EXACT_UNAMBIGUOUS,SEC name: VULCAN INDUSTRIES INC
W.W. Grainger Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [277135, 1170725]"
"W.W. Grainger, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [277135, 1170725]"
"Warn Industries, Inc.",1984463.0,EXACT_UNAMBIGUOUS,"SEC name: WARN INDUSTRIES, INC."
Warner Music Group,1309952.0,EXACT_UNAMBIGUOUS,SEC name: WARNER MUSIC GROUP INC
Warner Music Group Corp,1319161.0,EXACT_UNAMBIGUOUS,SEC name: WARNER MUSIC GROUP CORP.
WillScot Mobile Mini Holdings Corp.,1647088.0,EXACT_UNAMBIGUOUS,SEC name: DOUBLE EAGLE ACQUISITION CORP.
Workday Inc.,1327811.0,EXACT_UNAMBIGUOUS,SEC name: NORTH TAHOE POWER TOOLS INC
Yahoo,,EXACT_AMBIGUOUS,"Multiple CIKs: [1011006, 1426140, 1962736]"
Yahoo Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1011006, 1426140, 1962736]"
Yahoo! Inc.,,EXACT_AMBIGUOUS,"Multiple CIKs: [1011006, 1426140, 1962736]"
"Yahoo, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1011006, 1426140, 1962736]"
"Yum! Brands, Inc.",1041061.0,EXACT_UNAMBIGUOUS,SEC name: TRICON GLOBAL RESTAURANTS INC
Zscaler Inc.,1713683.0,EXACT_UNAMBIGUOUS,"SEC name: ZSCALER, INC."
"Zscaler, Inc.",1713683.0,EXACT_UNAMBIGUOUS,"SEC name: ZSCALER, INC."
"iHeartMedia + Entertainment, Inc.",1457738.0,EXACT_UNAMBIGUOUS,"SEC name: CLEAR CHANNEL BROADCASTING, INC."
salesforce.com,1108524.0,EXACT_UNAMBIGUOUS,SEC name: SALESFORCE COM INC
Boost Mobile,1001082.0,SUBSIDIARY_RESOLUTION,Known subsidiary → DISH Network Corporation
Sprint Business,1283699.0,SUBSIDIARY_RESOLUTION,"Known subsidiary → T-Mobile US, Inc."
Sprint Nextel,1283699.0,SUBSIDIARY_RESOLUTION,"Known subsidiary → T-Mobile US, Inc."
