org_name,breach_date,reported_date,prc_status,survives_to_333,treated,event_breach_date,event_composition,primary_source,source_url,verification_date
"Newcourse Communications, Inc.",2022-04-27 00:00:00,2022-10-24 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Newcourse Communications, Inc.",2022-04-27 00:00:00,2022-08-25 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Newcourse Communications, Inc.",2022-04-27 00:00:00,2022-11-07 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Truly Nolen of America, Inc.",2022-04-29 00:00:00,2022-09-07 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Johnson Oâ€™Hare Company, Inc.",2022-06-01 00:00:00,2022-07-14 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Johnson Oâ€™Hare Company, Inc.",2022-06-01 00:00:00,2022-07-16 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Sierra Pacific Industries,2022-06-11 00:00:00,2022-08-09 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"IMA Financial Group, Inc.",2022-10-19 00:00:00,2023-07-05 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Morgan Industrial, Inc.",2022-10-22 00:00:00,2023-01-18 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Activision Publishing, Inc.",2022-12-02 00:00:00,2023-02-20 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"DISH Network, LLC",2023-02-23 00:00:00,2023-02-23 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"NextGen Healthcare, Inc.",2023-03-29 00:00:00,2023-05-04 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Paycom Payroll, LLC",2023-05-28 00:00:00,2023-08-07 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Sony Interactive Entertainment, LLC",2023-05-28 00:00:00,2023-10-03 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Consolidated Edison Company of New York LLC,2023-05-29 00:00:00,2023-09-28 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Fidelity National Information Services, Inc.",2023-05-29 00:00:00,2023-09-22 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Flutter International Inc.,2023-05-30 00:00:00,2023-07-27 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Fidelity National Information Services, Inc.",2023-05-31 00:00:00,2023-09-29 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Fidelity National Information Services, Inc.",2023-05-31 00:00:00,2023-11-27 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
MD2 International,2023-06-12 00:00:00,2023-11-13 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"API Financial Solutions, Inc.",2023-06-28 00:00:00,2023-10-20 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
NSi Industries LLC,2023-10-11 00:00:00,2024-05-29 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Vulcan Industries,2023-11-01 00:00:00,2024-02-26 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Brown Paindiris & Scott, LLP",2023-11-07 00:00:00,2024-04-15 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Brown Paindiris & Scott, LLP",2023-11-07 00:00:00,2025-03-18 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"Mark Dunning Industries, Inc.",2023-11-07 00:00:00,2025-02-11 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
"Mark Dunning Industries, Inc.",2023-11-07 00:00:00,2025-03-28 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
Hewlett Packard Enterprise Company,2023-12-12 00:00:00,2025-02-05 00:00:00,ORG ABSENT FROM PRC FILE ENTIRELY,NO,,,,,,
First American Financial Corporation,2023-12-18 00:00:00,2024-06-07 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
Cornerstone Healthcare Group Management Services LLC,2023-12-19 00:00:00,2024-07-08 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
"On Q Financial, LLC",2024-02-20 00:00:00,2024-04-03 00:00:00,ORG PRESENT IN PRC UNDER DIFFERENT DATE,NO,,,,,,
