round,source_file,variant,sample,field,n,agreement,kappa,ref_Y,clf_Y,both_Y,clf_only_Y,ref_only_Y,precision,recall,ref_positives,clf_positives,tp,fp,fn,precision_ci95,recall_ci95,scoring,excluded_unclear,panel,stratum
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | exec departure (B: new only),30,0.9667,0.8696,,,,,,1.0,0.8,5.0,4.0,4.0,0.0,1.0,"[0.3976, 1.0]","[0.2836, 0.9949]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | CEO departure (A: any),30,0.9667,0.0,,,,,,0.0,,0.0,1.0,0.0,1.0,0.0,"[0.0, 0.975]",n/a (no ref positives),,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | CEO departure (B: new only),30,0.9667,0.0,,,,,,0.0,,0.0,1.0,0.0,1.0,0.0,"[0.0, 0.975]",n/a (no ref positives),,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | director-only departure,30,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,"[0.1581, 1.0]","[0.1581, 1.0]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | pre-announced (FULL POOL - MECHANICAL),30,0.9667,0.8889,,,,,,1.0,0.8333,6.0,5.0,5.0,0.0,1.0,"[0.4782, 1.0]","[0.3588, 0.9958]",,,agreement,
v4 final (30 new documents),outputs/essay3_v4/238_new_document_agreement.csv,,,SECONDARY (blind) | pre-announced (OUTCOME WINDOW ONLY),3,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,n/a (no clf positives),n/a (no ref positives),,,agreement,
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (A),38,0.9211,0.8421,19.0,16.0,,,,1.0,0.8421,,,16.0,0.0,3.0,"[0.794, 1.000]","[0.604, 0.966]",PRIMARY (verified),2.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (A),39,0.8718,0.7273,16.0,13.0,,,,0.9231,0.75,,,12.0,1.0,4.0,"[0.640, 0.998]","[0.476, 0.927]",PRIMARY (verified),1.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (A),38,0.9211,0.8421,19.0,16.0,,,,1.0,0.8421,,,16.0,0.0,3.0,"[0.794, 1.000]","[0.604, 0.966]",SECONDARY (blind),2.0,stratified recall,treated
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (A),37,0.9189,0.8252,14.0,13.0,,,,0.9231,0.8571,,,12.0,1.0,2.0,"[0.640, 0.998]","[0.572, 0.982]",SECONDARY (blind),3.0,stratified recall,control
recall audit (80 stratified 40/40),outputs/essay3_q2/d3_audit_recall_by_stratum.csv,,,exec departure (A),40,0.875,0.7525,21.0,16.0,,,,1.0,0.7619,,,16.0,0.0,5.0,"[0.794, 1.000]","[0.528, 0.918]",SENSITIVITY unclear->Y,0.0,stratified recall,treated
