final_cik,breach_date,org_name,treated,gvkey,matched_ticker,firm_size_log,firm_size_log_tic,firm_size_log_v3,leverage,leverage_tic,leverage_v3,roa,roa_tic,roa_v3,op_margin,op_margin_tic,op_margin_v3
732717,2014-02-01,AT&T,1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-04-01,AT&T,1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-04-09,"AT&T Services, Inc.",1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-06-05,"AT&T Services, Inc.",1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-06-11,AT&T,1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-08-05,ATT-Breach Notification,0,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-08-11,"AT&T Services, Inc.",1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-10-09,AT&T,1,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2014-10-16,ATT-Breach Notification,0,009899,T,12.5346,12.5346,12.5346,0.6707,0.6707,0.6707,0.0657,0.0657,0.0657,0.3835,0.3835,0.3835
732717,2017-01-01,"AT&T Services, Inc.",1,009899,T,12.9087,12.9087,12.9087,0.6927,0.6927,0.6927,0.0321,0.0321,0.0321,0.3063,0.3063,0.3063
732717,2017-01-25,AT&T,1,009899,T,12.9087,12.9087,12.9087,0.6927,0.6927,0.6927,0.0321,0.0321,0.0321,0.3063,0.3063,0.3063
732717,2017-02-01,AT&T Services,1,009899,T,12.9087,12.9087,12.9087,0.6927,0.6927,0.6927,0.0321,0.0321,0.0321,0.3063,0.3063,0.3063
732717,2018-08-17,Cricket Wireless LLC,1,009899,T,13.0038,13.0038,13.0038,0.6802,0.6802,0.6802,0.0663,0.0663,0.0663,0.307,0.307,0.307
732717,2018-08-21,Cricket Wireless LLC,1,009899,T,13.0038,13.0038,13.0038,0.6802,0.6802,0.6802,0.0663,0.0663,0.0663,0.307,0.307,0.307
732717,2019-01-01,"AT&T, Inc.",1,009899,T,13.1841,13.1841,13.1841,0.6355,0.6355,0.6355,0.0364,0.0364,0.0364,0.3312,0.3312,0.3312
732717,2022-06-01,AT&T,1,009899,T,13.2206,13.2206,13.2206,0.6667,0.6667,0.6667,0.0364,0.0364,0.0364,0.3048,0.3048,0.3048
732717,2022-08-30,"AT&T Services, Inc.",1,009899,T,13.2206,13.2206,13.2206,0.6667,0.6667,0.6667,0.0364,0.0364,0.0364,0.3048,0.3048,0.3048
732717,2023-03-01,"AT&T Services, Inc.",1,009899,T,12.9063,12.9063,12.9063,0.7357,0.7357,0.7357,-0.0195,-0.0195,-0.0195,0.3434,0.3434,0.3434
732717,2024-03-17,AT&T Inc.,1,009899,T,12.9167,12.9167,12.9167,0.7066,0.7066,0.7066,0.0354,0.0354,0.0354,0.3555,0.3555,0.3555
732717,2024-03-26,AT&T Inc.,1,009899,T,12.9167,12.9167,12.9167,0.7066,0.7066,0.7066,0.0354,0.0354,0.0354,0.3555,0.3555,0.3555
732717,2024-04-09,AT&T Inc,1,009899,T,12.9167,12.9167,12.9167,0.7066,0.7066,0.7066,0.0354,0.0354,0.0354,0.3555,0.3555,0.3555
732717,2024-04-14,AT&T Inc.,1,009899,T,12.9167,12.9167,12.9167,0.7066,0.7066,0.7066,0.0354,0.0354,0.0354,0.3555,0.3555,0.3555
764180,2006-12-01,"Altria Group, Inc.",0,008543,MO,11.5894,11.5894,11.5894,0.6309,0.6309,0.6309,0.0967,0.0967,0.0967,0.2737,0.2737,0.2737
771497,2018-01-08,ABM Industries Incorporated,0,001410,,8.2461,,,0.6392,,,0.001,,,0.0314,,
773840,2021-02-16,Honeywell International Inc.,0,001300,HON,11.0758,11.0758,11.0758,0.7244,0.7244,0.7244,0.074,0.074,0.074,0.2228,0.2228,0.2228
773840,2023-05-27,"Honeywell International, Inc.",0,001300,HON,11.0393,11.0393,11.0393,0.7218,0.7218,0.7218,0.0797,0.0797,0.0797,0.234,0.234,0.234
773840,2023-06-03,Honeywell International Inc.,0,001300,HON,11.0393,11.0393,11.0393,0.7218,0.7218,0.7218,0.0797,0.0797,0.0797,0.234,0.234,0.234
789019,2017-07-05,Microsoft Corporation,0,012141,MSFT,12.3929,12.3929,12.3929,0.6997,0.6997,0.6997,0.088,0.088,0.088,0.3383,0.3383,0.3383
789019,2019-12-05,Microsoft Corporation,0,012141,MSFT,12.5657,12.5657,12.5657,0.6429,0.6429,0.6429,0.1369,0.1369,0.1369,0.4335,0.4335,0.4335
789019,2022-03-01,Microsoft Corporation,0,012141,MSFT,12.7182,12.7182,12.7182,0.5746,0.5746,0.5746,0.1836,0.1836,0.1836,0.4808,0.4808,0.4808
789019,2022-09-24,Microsoft Corporation,0,012141,MSFT,12.8072,12.8072,12.8072,0.5435,0.5435,0.5435,0.1994,0.1994,0.1994,0.4948,0.4948,0.4948
789019,2023-05-28,"Nuance Communications, Inc.",0,012141,MSFT,12.8072,12.8072,12.8072,0.5435,0.5435,0.5435,0.1994,0.1994,0.1994,0.4948,0.4948,0.4948
789570,2019-07-07,MGM Resorts International,0,014418,MGM,10.316,10.316,10.316,0.6501,0.6501,0.6501,0.0147,0.0147,0.0147,0.2067,0.2067,0.2067
789570,2023-09-08,MGM Resorts International,0,014418,MGM,10.7297,10.7297,10.7297,0.8825,0.8825,0.8825,0.0315,0.0315,0.0315,0.1355,0.1355,0.1355
790070,2014-01-07,EMC Corporation,0,012053,,10.7331,,,0.4812,,,0.063,,,0.2608,,
796343,2013-09-11,Adobe Systems Incorporated,0,012540,ADBE,9.2078,9.2078,9.2078,0.3318,0.3318,0.3318,0.0835,0.0835,0.0835,0.3311,0.3311,0.3311
796343,2013-09-17,Adobe Systems Incorporated,0,012540,ADBE,9.2078,9.2078,9.2078,0.3318,0.3318,0.3318,0.0835,0.0835,0.0835,0.3311,0.3311,0.3311
796343,2019-10-19,Adobe Systems Incorporated,0,012540,ADBE,9.8399,9.8399,9.8399,0.5012,0.5012,0.5012,0.138,0.138,0.138,0.3522,0.3522,0.3522
798354,2008-12-02,"Fiserv, Inc.",0,012635,,9.3797,,,0.7917,,,0.0371,,,0.2239,,
