final_cik,breach_date,org_name,treated,gvkey,variable,v3_value,v4_value,change,delta
91440,2022-03-01,Snap-on Incorporated,0,009778,op_margin,0.2669,0.2669,identical,0.0
92380,2017-10-01,Southwest Airlines Co.,0,009882,firm_size_log,10.0556,10.0556,identical,0.0
92380,2017-10-01,Southwest Airlines Co.,0,009882,leverage,0.6375,0.6375,identical,0.0
92380,2017-10-01,Southwest Airlines Co.,0,009882,roa,0.0964,0.0964,identical,0.0
92380,2017-10-01,Southwest Airlines Co.,0,009882,op_margin,0.246,0.246,identical,0.0
92380,2018-03-01,Southwest Airlines Co.,0,009882,firm_size_log,10.131,10.131,identical,0.0
92380,2018-03-01,Southwest Airlines Co.,0,009882,leverage,0.5846,0.5846,identical,0.0
92380,2018-03-01,Southwest Airlines Co.,0,009882,roa,0.1389,0.1389,identical,0.0
92380,2018-03-01,Southwest Airlines Co.,0,009882,op_margin,0.2314,0.2314,identical,0.0
96021,2023-01-14,Sysco Corporation,0,010247,firm_size_log,10.0027,10.0027,identical,0.0
96021,2023-01-14,Sysco Corporation,0,010247,leverage,0.936,0.936,identical,0.0
96021,2023-01-14,Sysco Corporation,0,010247,roa,0.0615,0.0615,identical,0.0
96021,2023-01-14,Sysco Corporation,0,010247,op_margin,0.0481,0.0481,identical,0.0
101830,2009-02-01,Sprint Nextel,1,010984,firm_size_log,10.9725,10.9725,identical,0.0
101830,2009-02-01,Sprint Nextel,1,010984,leverage,0.6634,0.6634,identical,0.0
101830,2009-02-01,Sprint Nextel,1,010984,roa,-0.048,-0.048,identical,0.0
101830,2009-02-01,Sprint Nextel,1,010984,op_margin,0.2151,0.2151,identical,0.0
101830,2009-01-01,Sprint Nextel,1,010984,firm_size_log,10.8074,10.9725,changed,0.1651
101830,2009-01-01,Sprint Nextel,1,010984,leverage,0.7686,0.6634,changed,-0.1052
101830,2009-01-01,Sprint Nextel,1,010984,roa,-0.0585,-0.048,changed,0.0105
101830,2009-01-01,Sprint Nextel,1,010984,op_margin,0.1506,0.2151,changed,0.0645
101830,2015-08-17,Sprint Corporation,1,010984,firm_size_log,11.327,11.327,identical,0.0
101830,2015-08-17,Sprint Corporation,1,010984,leverage,0.7385,0.7385,identical,0.0
101830,2015-08-17,Sprint Corporation,1,010984,roa,-0.0403,-0.0403,identical,0.0
101830,2015-08-17,Sprint Corporation,1,010984,op_margin,0.1738,0.1738,identical,0.0
101830,2017-05-01,Sprint Corporation,1,010984,firm_size_log,11.3519,11.3519,identical,0.0
101830,2017-05-01,Sprint Corporation,1,010984,leverage,0.779,0.779,identical,0.0
101830,2017-05-01,Sprint Corporation,1,010984,roa,-0.0142,-0.0142,identical,0.0
101830,2017-05-01,Sprint Corporation,1,010984,op_margin,0.3123,0.3123,identical,0.0
101830,2017-05-07,Sprint,1,010984,firm_size_log,11.3519,11.3519,identical,0.0
101830,2017-05-07,Sprint,1,010984,leverage,0.779,0.779,identical,0.0
101830,2017-05-07,Sprint,1,010984,roa,-0.0142,-0.0142,identical,0.0
101830,2017-05-07,Sprint,1,010984,op_margin,0.3123,0.3123,identical,0.0
101830,2018-03-02,Sprint Corporation,1,010984,firm_size_log,11.3519,11.3519,identical,0.0
101830,2018-03-02,Sprint Corporation,1,010984,leverage,0.779,0.779,identical,0.0
101830,2018-03-02,Sprint Corporation,1,010984,roa,-0.0142,-0.0142,identical,0.0
101830,2018-03-02,Sprint Corporation,1,010984,op_margin,0.3123,0.3123,identical,0.0
101830,2019-03-14,Sprint Corporation,1,010984,firm_size_log,11.3558,11.3558,identical,0.0
101830,2019-03-14,Sprint Corporation,1,010984,leverage,0.6909,0.6909,identical,0.0
101830,2019-03-14,Sprint Corporation,1,010984,roa,0.0865,0.0865,identical,0.0
101830,2019-03-14,Sprint Corporation,1,010984,op_margin,0.3397,0.3397,identical,0.0
101830,2019-05-09,Sprint Corporation,1,010984,firm_size_log,11.3457,11.3457,identical,0.0
101830,2019-05-09,Sprint Corporation,1,010984,leverage,0.6912,0.6912,identical,0.0
101830,2019-05-09,Sprint Corporation,1,010984,roa,-0.023,-0.023,identical,0.0
101830,2019-05-09,Sprint Corporation,1,010984,op_margin,0.3802,0.3802,identical,0.0
101830,2019-06-02,Sprint,1,010984,firm_size_log,11.3457,11.3457,identical,0.0
101830,2019-06-02,Sprint,1,010984,leverage,0.6912,0.6912,identical,0.0
101830,2019-06-02,Sprint,1,010984,roa,-0.023,-0.023,identical,0.0
101830,2019-06-02,Sprint,1,010984,op_margin,0.3802,0.3802,identical,0.0
101830,2019-06-08,Sprint,1,010984,firm_size_log,11.3457,11.3457,identical,0.0
101830,2019-06-08,Sprint,1,010984,leverage,0.6912,0.6912,identical,0.0
101830,2019-06-08,Sprint,1,010984,roa,-0.023,-0.023,identical,0.0
101830,2019-06-08,Sprint,1,010984,op_margin,0.3802,0.3802,identical,0.0
101830,2019-06-22,Sprint,1,010984,firm_size_log,11.3457,11.3457,identical,0.0
101830,2019-06-22,Sprint,1,010984,leverage,0.6912,0.6912,identical,0.0
101830,2019-06-22,Sprint,1,010984,roa,-0.023,-0.023,identical,0.0
101830,2019-06-22,Sprint,1,010984,op_margin,0.3802,0.3802,identical,0.0
101830,2019-08-13,Sprint Corporation,1,010984,firm_size_log,11.3457,11.3457,identical,0.0
101830,2019-08-13,Sprint Corporation,1,010984,leverage,0.6912,0.6912,identical,0.0
101830,2019-08-13,Sprint Corporation,1,010984,roa,-0.023,-0.023,identical,0.0
101830,2019-08-13,Sprint Corporation,1,010984,op_margin,0.3802,0.3802,identical,0.0
1770450,2023-12-10,Xerox Corporation,0,011636,firm_size_log,,9.3538,gained,
1770450,2023-12-10,Xerox Corporation,0,011636,leverage,,0.6901,gained,
1770450,2023-12-10,Xerox Corporation,0,011636,roa,,-0.0279,gained,
1770450,2023-12-10,Xerox Corporation,0,011636,op_margin,,0.086,gained,
277135,2017-08-23,"W.W. Grainger, Inc.",0,005256,firm_size_log,8.6472,8.6472,identical,0.0
277135,2017-08-23,"W.W. Grainger, Inc.",0,005256,leverage,0.6653,0.6653,identical,0.0
277135,2017-08-23,"W.W. Grainger, Inc.",0,005256,roa,0.1064,0.1064,identical,0.0
277135,2017-08-23,"W.W. Grainger, Inc.",0,005256,op_margin,0.1443,0.1443,identical,0.0
277135,2017-09-26,W.W. Grainger Inc.,0,005256,firm_size_log,8.6472,8.6472,identical,0.0
277135,2017-09-26,W.W. Grainger Inc.,0,005256,leverage,0.6653,0.6653,identical,0.0
277135,2017-09-26,W.W. Grainger Inc.,0,005256,roa,0.1064,0.1064,identical,0.0
277135,2017-09-26,W.W. Grainger Inc.,0,005256,op_margin,0.1443,0.1443,identical,0.0
315293,2020-12-17,Aon Corporation,0,003221,firm_size_log,10.2889,10.2889,identical,0.0
315293,2020-12-17,Aon Corporation,0,003221,leverage,0.8827,0.8827,identical,0.0
315293,2020-12-17,Aon Corporation,0,003221,roa,0.0521,0.0521,identical,0.0
315293,2020-12-17,Aon Corporation,0,003221,op_margin,0.2891,0.2891,identical,0.0
318154,2021-04-21,Amgen Inc.,0,001602,firm_size_log,11.0501,11.0501,identical,0.0
318154,2021-04-21,Amgen Inc.,0,001602,leverage,0.8505,0.8505,identical,0.0
318154,2021-04-21,Amgen Inc.,0,001602,roa,0.1154,0.1154,identical,0.0
318154,2021-04-21,Amgen Inc.,0,001602,op_margin,0.4947,0.4947,identical,0.0
318154,2023-08-16,Amgen Inc.,0,001602,firm_size_log,11.084,11.084,identical,0.0
318154,2023-08-16,Amgen Inc.,0,001602,leverage,0.9438,0.9438,identical,0.0
318154,2023-08-16,Amgen Inc.,0,001602,roa,0.1006,0.1006,identical,0.0
318154,2023-08-16,Amgen Inc.,0,001602,op_margin,0.5072,0.5072,identical,0.0
319687,2013-01-01,United Airlines,0,010484,firm_size_log,,9.9428,gained,
319687,2013-01-01,United Airlines,0,010484,leverage,,1.1531,gained,
319687,2013-01-01,United Airlines,0,010484,roa,,-0.0571,gained,
319687,2013-01-01,United Airlines,0,010484,op_margin,,0.0577,gained,
320193,2010-06-01,Apple Inc.,0,001690,firm_size_log,10.7685,10.7685,identical,0.0
320193,2010-06-01,Apple Inc.,0,001690,leverage,0.3339,0.3339,identical,0.0
320193,2010-06-01,Apple Inc.,0,001690,roa,0.1734,0.1734,identical,0.0
320193,2010-06-01,Apple Inc.,0,001690,op_margin,0.2896,0.2896,identical,0.0
320193,2013-07-18,Apple Inc.,0,001690,firm_size_log,12.0786,12.0786,identical,0.0
320193,2013-07-18,Apple Inc.,0,001690,leverage,0.3286,0.3286,identical,0.0
320193,2013-07-18,Apple Inc.,0,001690,roa,0.237,0.237,identical,0.0
320193,2013-07-18,Apple Inc.,0,001690,op_margin,0.3734,0.3734,identical,0.0
320193,2014-08-31,Apple Inc.,0,001690,firm_size_log,12.2405,12.2405,identical,0.0
320193,2014-08-31,Apple Inc.,0,001690,leverage,0.4031,0.4031,identical,0.0
320193,2014-08-31,Apple Inc.,0,001690,roa,0.1789,0.1789,identical,0.0
320193,2014-08-31,Apple Inc.,0,001690,op_margin,0.3262,0.3262,identical,0.0
320193,2015-07-01,Apple Inc.,0,001690,firm_size_log,12.3538,12.3538,identical,0.0
320193,2015-07-01,Apple Inc.,0,001690,leverage,0.5189,0.5189,identical,0.0
320193,2015-07-01,Apple Inc.,0,001690,roa,0.1704,0.1704,identical,0.0
320193,2015-07-01,Apple Inc.,0,001690,op_margin,0.3307,0.3307,identical,0.0
320193,2015-09-18,Apple Inc.,0,001690,firm_size_log,12.3538,12.3538,identical,0.0
320193,2015-09-18,Apple Inc.,0,001690,leverage,0.5189,0.5189,identical,0.0
320193,2015-09-18,Apple Inc.,0,001690,roa,0.1704,0.1704,identical,0.0
