final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
732717,2014-04-01,AT&T,final_cik,732717.0,84.0,ok,2012-04-01,2014-12-10,,,
732717,2014-04-09,"AT&T Services, Inc.",final_cik,732717.0,84.0,ok,2012-04-09,2014-12-02,,,
732717,2014-06-05,"AT&T Services, Inc.",final_cik,732717.0,108.0,ok,2012-06-05,2015-10-17,,,
732717,2014-06-11,AT&T,final_cik,732717.0,107.0,ok,2012-06-11,2015-10-17,,,
732717,2014-08-05,ATT-Breach Notification,final_cik,732717.0,84.0,ok,2012-08-05,2015-03-31,,,
732717,2014-08-11,"AT&T Services, Inc.",final_cik,732717.0,84.0,ok,2012-08-11,2015-03-30,,,
732717,2014-10-09,AT&T,final_cik,732717.0,83.0,ok,2012-10-09,2015-04-07,,,
732717,2014-10-16,ATT-Breach Notification,final_cik,732717.0,88.0,ok,2012-10-16,2015-06-17,,,
732717,2017-01-01,"AT&T Services, Inc.",final_cik,732717.0,92.0,ok,2015-01-02,2017-11-15,,,
732717,2017-01-25,AT&T,final_cik,732717.0,90.0,ok,2015-01-26,2017-11-15,,,
732717,2017-02-01,AT&T Services,final_cik,732717.0,101.0,ok,2015-02-02,2018-03-13,,,
732717,2018-08-17,Cricket Wireless LLC,final_cik,732717.0,91.0,ok,2016-08-17,2019-02-13,,,
732717,2018-08-21,Cricket Wireless LLC,final_cik,732717.0,91.0,ok,2016-08-21,2019-02-17,,,
732717,2019-01-01,"AT&T, Inc.",final_cik,732717.0,221.0,ok,2017-01-01,2024-09-28,,,
732717,2022-06-01,AT&T,final_cik,732717.0,98.0,ok,2020-06-01,2024-09-26,,,
732717,2022-08-30,"AT&T Services, Inc.",final_cik,732717.0,77.0,ok,2020-08-30,2023-08-23,,,
732717,2023-03-01,"AT&T Services, Inc.",final_cik,732717.0,62.0,ok,2021-03-01,2023-08-28,,,
732717,2024-03-17,AT&T Inc.,final_cik,732717.0,44.0,ok,2022-03-18,2024-10-06,,,
732717,2024-03-26,AT&T Inc.,final_cik,732717.0,43.0,ok,2022-03-27,2024-10-06,,,
732717,2024-04-09,AT&T Inc,final_cik,732717.0,42.0,ok,2022-04-10,2024-10-06,,,
732717,2024-04-14,AT&T Inc.,final_cik,732717.0,42.0,ok,2022-04-11,2024-10-11,,,
764180,2006-12-01,"Altria Group, Inc.",final_cik,764180.0,43.0,ok,2004-12-01,2007-07-09,,,
771497,2018-01-08,ABM Industries Incorporated,final_cik,771497.0,45.0,ok,2016-01-09,2019-09-08,,,
773840,2021-02-16,Honeywell International Inc.,final_cik,773840.0,41.0,ok,2019-02-17,2021-10-30,,,
773840,2023-05-27,"Honeywell International, Inc.",final_cik,773840.0,42.0,ok,2021-05-27,2024-03-11,,,
773840,2023-06-03,Honeywell International Inc.,final_cik,773840.0,42.0,ok,2021-06-03,2024-03-16,,,
789019,2017-07-05,Microsoft Corporation,final_cik,789019.0,34.0,ok,2015-07-06,2018-04-15,,,
789019,2019-12-05,Microsoft Corporation,final_cik,789019.0,24.0,ok,2017-12-05,2020-07-20,,,
789019,2022-03-01,Microsoft Corporation,final_cik,789019.0,31.0,ok,2020-03-01,2022-09-18,,,
789019,2022-09-24,Microsoft Corporation,final_cik,789019.0,23.0,ok,2020-09-24,2023-04-17,,,
789019,2023-05-28,"Nuance Communications, Inc.",final_cik,789019.0,27.0,ok,2021-05-28,2024-03-13,,,
