outcome_cik,final_cik,org_name,breach_date,treated,accession,filing_date,form,items,primary_doc,on_disk,win_lo,win_hi,submissions_cached
33185,33185,TALX Corporation,2017-03-09,0,0001193125-17-293765,2017-09-26,8-K,"5.02,9.01",d420554d8k.htm,1,2015-03-10,2017-11-15,1
33185,33185,TALX Corporation,2017-03-09,0,0001193125-16-771552,2016-11-18,8-K,"5.02,9.01",d292527d8k.htm,1,2015-03-10,2017-11-15,1
33185,33185,TALX Corporation,2017-03-09,0,0001193125-16-713479,2016-09-19,8-K,"5.02,9.01",d257536d8k.htm,1,2015-03-10,2017-11-15,1
40704,40704,"General Mills, Inc.",2022-11-18,0,0001193125-23-137156,2023-05-05,8-K,"5.02,9.01",d408002d8k.htm,1,2020-11-18,2023-07-11,1
40704,40704,"General Mills, Inc.",2022-11-18,0,0001193125-22-255620,2022-09-30,8-K,"5.02,5.07,9.01",d514129d8k.htm,1,2020-11-18,2023-07-11,1
40704,40704,"General Mills, Inc.",2022-11-18,0,0001193125-22-185819,2022-06-30,8-K,"5.02,8.01,9.01",d365231d8k.htm,1,2020-11-18,2023-07-11,1
40704,40704,"General Mills, Inc.",2022-11-18,0,0001193125-21-350290,2021-12-07,8-K,5.02,d257144d8k.htm,1,2020-11-18,2023-07-11,1
40704,40704,"General Mills, Inc.",2022-11-18,0,0001564590-21-037515,2021-07-22,8-K,"5.02,9.01",gis-8k_20210716.htm,1,2020-11-18,2023-07-11,1
43196,43196,"Gray Television, Inc.",2016-02-16,0,0001437749-17-000933,2017-01-20,8-K,"2.02,5.02,7.01,9.01",gtn20170120_8k.htm,1,2014-02-16,2017-02-27,1
43196,43196,"Gray Television, Inc.",2016-02-16,0,0001437749-16-038936,2016-09-21,8-K,"5.02,7.01,9.01",gtn20160920_8k.htm,1,2014-02-16,2017-02-27,1
43196,43196,"Gray Television, Inc.",2016-02-16,0,0001437749-16-034694,2016-06-30,8-K,"5.02,9.01",gtn20160630_8k.htm,1,2014-02-16,2017-02-27,1
43196,43196,"Gray Television, Inc.",2016-02-16,0,0001437749-16-024501,2016-02-02,8-K,"5.02,7.01,9.01",gtn20160202_8k.htm,1,2014-02-16,2017-02-27,1
43196,43196,"Gray Television, Inc.",2016-02-16,0,0001437749-15-014446,2015-07-31,8-K,5.02,gtn20150731_8k.htm,1,2014-02-16,2017-02-27,1
43196,43196,Gray Television,2016-08-08,0,0001437749-17-000933,2017-01-20,8-K,"2.02,5.02,7.01,9.01",gtn20170120_8k.htm,1,2014-08-09,2017-02-27,1
43196,43196,Gray Television,2016-08-08,0,0001437749-16-038936,2016-09-21,8-K,"5.02,7.01,9.01",gtn20160920_8k.htm,1,2014-08-09,2017-02-27,1
43196,43196,Gray Television,2016-08-08,0,0001437749-16-034694,2016-06-30,8-K,"5.02,9.01",gtn20160630_8k.htm,1,2014-08-09,2017-02-27,1
43196,43196,Gray Television,2016-08-08,0,0001437749-16-024501,2016-02-02,8-K,"5.02,7.01,9.01",gtn20160202_8k.htm,1,2014-08-09,2017-02-27,1
43196,43196,Gray Television,2016-08-08,0,0001437749-15-014446,2015-07-31,8-K,5.02,gtn20150731_8k.htm,1,2014-08-09,2017-02-27,1
43196,43196,"Gray Television, Inc.",2021-09-01,0,0001437749-22-011229,2022-05-06,8-K,"5.02,5.07",gtn20220505b_8k.htm,1,2019-09-02,2022-08-20,1
43196,43196,"Gray Television, Inc.",2021-09-01,0,0001437749-22-004783,2022-03-01,8-K,"5.02,7.01,9.01",gtn20220301_8k.htm,1,2019-09-02,2022-08-20,1
43196,43196,"Gray Television, Inc.",2021-09-01,0,0001193125-21-057034,2021-02-25,8-K,"5.02,7.01,8.01,9.01",d139576d8k.htm,1,2019-09-02,2022-08-20,1
47111,47111,The Hershey Company,2023-09-03,0,0000047111-23-000006,2023-02-06,8-K,"5.02,9.01",hsy-20230202.htm,1,2021-09-03,2024-06-04,1
47217,47217,Hewlett-Packard Company,2007-07-01,0,0001104659-08-004386,2008-01-24,8-K,"5.02,9.01",a08-3596_18k.htm,1,2005-07-01,2008-02-12,1
