phase,cik,breach_date,accession,status,path
documents,43196,2021-09-01,0001193125-21-057034,already_on_disk,Data\edgar\item5_02_text\43196\0001193125-21-057034_d139576d8k.htm
documents,47111,2023-09-03,0000047111-23-000006,already_on_disk,Data\edgar\item5_02_text\47111\0000047111-23-000006_hsy-20230202.htm
documents,47217,2007-07-01,0001104659-08-004386,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-004386_a08-3596_18k.htm
documents,47217,2007-07-01,0001104659-07-041277,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-041277_a07-14585_18k.htm
documents,47217,2007-07-01,0001104659-07-003960,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-003960_a07-2312_18k.htm
documents,47217,2007-07-01,0001104659-06-080577,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-080577_a06-25366_18k.htm
documents,47217,2007-07-01,0001104659-06-078068,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-078068_a06-24620_18ka.htm
documents,47217,2007-07-01,0001104659-06-075980,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-075980_a06-24249_18k.htm
documents,47217,2007-07-01,0001104659-06-062623,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-062623_a06-20135_18k.htm
documents,47217,2007-07-01,0001104659-06-060568,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-060568_a06-19530_18k.htm
documents,47217,2007-07-01,0001104659-06-036450,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-036450_a06-12355_18k.htm
documents,47217,2007-07-01,0001104659-06-002894,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-002894_a06-2808_18ka.htm
documents,47217,2007-07-01,0001104659-05-057353,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-05-057353_a05-20651_18k.htm
documents,47217,2007-07-01,0000047217-05-000167,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-05-000167_form8-k_092705.htm
documents,47217,2007-08-16,0001104659-08-004386,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-004386_a08-3596_18k.htm
documents,47217,2007-08-16,0001104659-07-041277,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-041277_a07-14585_18k.htm
documents,47217,2007-08-16,0001104659-07-003960,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-003960_a07-2312_18k.htm
documents,47217,2007-08-16,0001104659-06-080577,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-080577_a06-25366_18k.htm
documents,47217,2007-08-16,0001104659-06-078068,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-078068_a06-24620_18ka.htm
documents,47217,2007-08-16,0001104659-06-075980,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-075980_a06-24249_18k.htm
documents,47217,2007-08-16,0001104659-06-062623,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-062623_a06-20135_18k.htm
documents,47217,2007-08-16,0001104659-06-060568,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-060568_a06-19530_18k.htm
documents,47217,2007-08-16,0001104659-06-036450,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-036450_a06-12355_18k.htm
documents,47217,2007-08-16,0001104659-06-002894,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-002894_a06-2808_18ka.htm
documents,47217,2007-08-16,0001104659-05-057353,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-05-057353_a05-20651_18k.htm
documents,47217,2007-08-16,0000047217-05-000167,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-05-000167_form8-k_092705.htm
documents,47217,2008-12-04,0000047217-09-000003,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-09-000003_bylawsform8-k_0109.htm
documents,47217,2008-12-04,0001104659-08-060212,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-060212_a08-24087_18k.htm
documents,47217,2008-12-04,0001104659-08-055465,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-055465_a08-22416_18k.htm
documents,47217,2008-12-04,0000047217-08-000117,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-08-000117_q2form8-k_0508.htm
documents,47217,2008-12-04,0001104659-08-004386,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-004386_a08-3596_18k.htm
documents,47217,2008-12-04,0001104659-07-041277,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-041277_a07-14585_18k.htm
documents,47217,2008-12-04,0001104659-07-003960,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-003960_a07-2312_18k.htm
documents,47217,2008-12-04,0001104659-06-080577,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-080577_a06-25366_18k.htm
documents,47217,2008-12-08,0000047217-09-000003,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-09-000003_bylawsform8-k_0109.htm
documents,47217,2008-12-08,0001104659-08-060212,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-060212_a08-24087_18k.htm
documents,47217,2008-12-08,0001104659-08-055465,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-055465_a08-22416_18k.htm
documents,47217,2008-12-08,0000047217-08-000117,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-08-000117_q2form8-k_0508.htm
documents,47217,2008-12-08,0001104659-08-004386,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-004386_a08-3596_18k.htm
documents,47217,2008-12-08,0001104659-07-041277,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-041277_a07-14585_18k.htm
documents,47217,2008-12-08,0001104659-07-003960,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-07-003960_a07-2312_18k.htm
documents,47217,2008-12-08,0001104659-06-080577,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-06-080577_a06-25366_18k.htm
documents,47217,2010-02-09,0001047469-10-007177,already_on_disk,Data\edgar\item5_02_text\47217\0001047469-10-007177_a2199755z8-k.htm
documents,47217,2010-02-09,0001104659-10-015887,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-10-015887_a10-6739_18k.htm
documents,47217,2010-02-09,0000047217-09-000032,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-09-000032_form8-k_091709.htm
documents,47217,2010-02-09,0000047217-09-000003,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-09-000003_bylawsform8-k_0109.htm
documents,47217,2010-02-09,0001104659-08-060212,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-060212_a08-24087_18k.htm
documents,47217,2010-02-09,0001104659-08-055465,already_on_disk,Data\edgar\item5_02_text\47217\0001104659-08-055465_a08-22416_18k.htm
documents,47217,2010-02-09,0000047217-08-000117,already_on_disk,Data\edgar\item5_02_text\47217\0000047217-08-000117_q2form8-k_0508.htm
documents,51143,2007-02-23,0001104659-07-057720,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-07-057720_a07-18155_48k.htm
documents,51143,2007-02-23,0001104659-07-049962,already_on_disk,Data\edgar\item5_02_text\51143\0001104659-07-049962_a07-17329_18k.htm
