cik,car_30d,fcc_reportable,firm_size_log,leverage,roa,immediate_disclosure,prior_breaches_1yr,health_breach,n_breaches,org_name
1091667,0.9482900000000001,False,9.664743834959587,1.0411695177916283,-0.0004353140418128398,0.6,0.2,0.0,10,"Aero Charter, Inc."
1097864,-6.866333333333333,False,10.092444398634795,0.5069695975263595,0.032364053855424534,0.0,0.0,0.0,3,Alpha & Omega Semiconductor
1108524,23.1406,False,8.731194689213126,0.5769044037544294,0.0067722534928179,1.0,0.0,0.0,2,salesforce.com
1113169,-1.4349499999999997,False,9.867953585950625,0.16089475361587505,0.04509815747014635,0.0,0.0,0.0,2,"T. Rowe Price Retirement Plan Services, Inc."
1123360,-3.1136,False,8.112781472299027,0.4623265949765321,0.0018920124413024,1.0,0.0,0.0,2,Global Payments Inc.
1124610,1.7714,False,10.49850249703416,0.5077762068269036,0.0115801521578132,0.5,0.0,0.0,2,Vmware Inc
1133421,3.9348,False,10.48531368593426,0.7651360046797309,0.0232315213303806,0.0,0.0,0.0,1,Northrop Grumman Systems Corporation
1136893,-1.5559173913043478,False,10.264868213871578,0.5631815996631516,-0.02569325971849897,0.5217391304347826,6.608695652173913,0.043478260869565216,23,A&A Services
1137789,-13.807299999999998,False,9.306344423106482,0.812925029876844,0.016530021853095034,0.6666666666666666,0.6666666666666666,0.3333333333333333,3,Seagate Technology LLC
1140859,-3.1641666666666666,False,10.732347208415547,0.9817237202679072,0.007491511419995434,0.0,29.0,0.6666666666666666,3,"Cencora, Inc."
1156375,8.3252,False,11.28146435975927,0.795230744779749,0.006624328441287,0.0,0.0,0.0,1,SCM Group
1166691,-1.1641785714285713,True,11.663341742729159,0.6604947880132707,0.011052727665923894,0.5,2.2857142857142856,0.0,14,Comcast
1283699,-1.1692764705882355,False,11.262226502080185,0.68646250868474,0.00709925084100539,0.27450980392156865,0.9607843137254902,0.0,51,Impact Mobile Home Communities
1285785,-16.3351,False,9.32897448536315,0.4729064773947274,0.0055817328720823,0.0,0.0,1.0,1,"The Mosaic Tile Company of Virginia, Inc."
1324404,-1.1124285714285713,False,9.270747159369872,0.4949821219263,0.019997400589573375,0.05714285714285714,0.11428571428571428,0.08571428571428572,35,ABM Industries Incorporated
1326160,-1.7646666666666666,False,10.996573827440438,0.6766640813638206,0.0063535626595904,0.3333333333333333,0.0,0.0,3,Duke Energy
1336920,6.4486,False,9.532226025488178,0.685186622177388,0.0132691860013967,0.0,0.0,1.0,1,"Leidos, Inc."
1373715,3.3791,False,11.96134301210927,0.5379046967624259,0.0197788417692658,1.0,0.0,0.0,1,ServiceNow Inc.
1385157,-4.0297,False,10.70484107963319,0.449702067998598,0.0237031195233088,0.0,0.0,0.0,1,"GIGAFLIGHT Connectivity, Inc."
1390777,3.6673,False,10.48732891607287,0.9040205875157604,0.0023099794877585,0.0,0.0,0.0,1,Consolidated Edison Company of New York LLC
1402057,-3.6130666666666666,False,9.401487359746397,0.8471971180491359,0.0212091533096446,0.0,0.0,0.0,3,NCH Corporation
1428439,-6.92985,False,9.283255314952338,0.450581205180633,-0.0636635491783336,0.5,0.25,0.0,4,Roku Inc
1437107,4.7813,False,5.639736987512949,1.243886236569931,-0.0071404963825984,0.0,0.0,1.0,1,"iHeartMedia + Entertainment, Inc."
