accession,cik,status,bytes
0000950134-06-016417,896878,already_on_disk,11810
0000950134-06-019813,896878,already_on_disk,12269
0000950134-07-004389,896878,already_on_disk,12221
0000950134-07-013237,896878,already_on_disk,11802
0000950134-07-013435,896878,already_on_disk,12805
0000950134-07-016170,896878,already_on_disk,22931
0000891618-07-000516,896878,already_on_disk,19068
0000950134-07-020924,896878,already_on_disk,15359
0000950134-07-022010,896878,already_on_disk,8798
0000950134-07-023354,896878,already_on_disk,17300
0000950134-07-025545,896878,already_on_disk,19282
0000950134-08-001977,896878,already_on_disk,13670
0000950134-08-013312,896878,already_on_disk,19797
0000950134-08-018583,896878,already_on_disk,9565
0000950134-08-021520,896878,already_on_disk,10235
0000950134-08-022449,896878,already_on_disk,18851
0001193125-12-186061,896878,already_on_disk,14957
0001193125-12-319554,896878,already_on_disk,28427
0000896878-13-000062,896878,already_on_disk,33725
0001193125-13-295758,896878,already_on_disk,11493
0001193125-13-302682,896878,already_on_disk,21142
0001193125-14-020495,896878,already_on_disk,35384
0000896878-14-000030,896878,already_on_disk,21673
0001193125-14-284196,896878,already_on_disk,15993
0001193125-14-394221,896878,already_on_disk,15090
0001193125-15-019001,896878,already_on_disk,37429
0001193125-15-360231,896878,already_on_disk,16160
0000896878-16-000219,896878,already_on_disk,41685
0000896878-17-000080,896878,already_on_disk,43181
0000896878-17-000117,896878,already_on_disk,45991
0000896878-17-000162,896878,already_on_disk,35515
0000896878-18-000025,896878,already_on_disk,96026
0000896878-18-000073,896878,already_on_disk,40796
0000896878-18-000162,896878,already_on_disk,45682
0000896878-18-000207,896878,already_on_disk,35609
0000896878-20-000202,896878,already_on_disk,47839
0000896878-21-000255,896878,already_on_disk,36106
0000896878-22-000003,896878,already_on_disk,75550
0000896878-22-000019,896878,already_on_disk,39472
0000896878-23-000009,896878,already_on_disk,43331
0000896878-23-000016,896878,already_on_disk,37388
0000896878-23-000028,896878,already_on_disk,28512
0000896878-24-000021,896878,already_on_disk,29672
0000896878-24-000032,896878,already_on_disk,29478
0000896878-24-000041,896878,already_on_disk,28091
0000896878-25-000027,896878,already_on_disk,26831
0000930413-11-001085,908937,already_on_disk,14555
0000950123-11-034955,908937,already_on_disk,13100
0000930413-11-004876,908937,already_on_disk,14313
0000930413-11-005668,908937,already_on_disk,14314
0000930413-12-001340,908937,already_on_disk,13574
0000930413-14-004831,908937,already_on_disk,17035
0000930413-15-002576,908937,already_on_disk,36778
0000930413-15-002882,908937,already_on_disk,19618
0000930413-15-002950,908937,already_on_disk,25393
0000930413-15-003027,908937,already_on_disk,20318
0000930413-15-003326,908937,already_on_disk,20202
0000930413-16-005595,908937,already_on_disk,15009
0000908937-18-000005,908937,already_on_disk,31353
0000908937-18-000008,908937,already_on_disk,26284
0001140361-12-050307,920522,already_on_disk,21822
0001140361-13-012917,920522,already_on_disk,30825
0001140361-13-021459,920522,already_on_disk,86746
0001140361-13-030591,920522,already_on_disk,17757
0001140361-14-003902,920522,already_on_disk,42794
0001140361-14-015094,920522,already_on_disk,49073
0001140361-14-046028,920522,already_on_disk,15152
0000920522-15-000011,920522,already_on_disk,23089
0001140361-15-032543,920522,already_on_disk,12917
0001140361-20-010932,943452,already_on_disk,29442
0001140361-20-012015,943452,already_on_disk,52643
0001140361-20-017477,943452,already_on_disk,21120
0001140361-20-027975,943452,already_on_disk,31223
