accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0001104659-06-078068,47217,2006-11-28,8-K/A,5.02,1,1,287,,d,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001104659-06-080577,47217,2006-12-11,8-K,"5.02,9.01",1,1,1512,2006-12-11;2006-12-31,"b,c",1,0,0,1,0,1,2006-12-11,2006-12-31,0,1,0,0,0,0,0,departure
0001104659-07-003960,47217,2007-01-23,8-K,"5.02,5.03,9.01",1,1,1201,,"b,c",1,0,0,1,0,1,,immediately,0,0,0,0,0,0,0,departure
0001104659-07-041277,47217,2007-05-18,8-K,"5.02,5.03,9.01",1,1,1276,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001104659-08-004386,47217,2008-01-24,8-K,"5.02,9.01",1,1,3230,2008-01-17,e,0,0,0,0,0,1,,,1,0,0,0,0,0,0,compensation only
0000047217-08-000117,47217,2008-05-20,8-K,"2.02,5.02,9.01",1,1,1994,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001104659-08-055465,47217,2008-08-27,8-K,"5.02,9.01",1,1,1488,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001104659-08-060212,47217,2008-09-24,8-K,5.02,1,1,1448,,,0,0,0,1,1,1,,,0,0,0,0,0,0,0,appointment
0000047217-09-000003,47217,2009-01-20,8-K,"5.02,5.03,9.01",1,1,2860,2009-01-14,"b,e",0,0,1,0,0,1,2009-01-14,,1,0,0,0,0,0,0,departure
0000047217-09-000032,47217,2009-09-17,8-K,"5.02,5.03,9.01",1,1,1946,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001104659-10-015887,47217,2010-03-23,8-K,"5.02,5.07,9.01",1,1,5770,,e,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0001047469-10-007177,47217,2010-08-06,8-K,"2.02,5.02,5.03,9.01",1,1,4967,2008-01-17;2009-12-11;2010-08-06;2010-09-07;2010-10-31;2010-12-11,"b,c,e",1,1,0,1,0,1,,immediately,0,0,1,0,0,1,0,departure
0001104659-05-014582,51143,2005-04-01,8-K,5.02,1,1,822,2005-04-01;2005-04-26,b,0,0,1,0,0,0,2005-04-01,2005-04-01,0,0,0,0,0,0,0,departure
