final_cik,breach_date,reported_date,fcc_form499,exec_departure_30_rd,ceo_departure_30_rd,director_departure_30_rd,any_502_30_rd,exec_departure_nopre_30_rd,exec_departure_90_rd,ceo_departure_90_rd,director_departure_90_rd,any_502_90_rd,exec_departure_nopre_90_rd,exec_departure_180_rd,ceo_departure_180_rd,director_departure_180_rd,any_502_180_rd,exec_departure_nopre_180_rd,days_to_first_exec_departure_rd,placebo_exec_departure_rd,baseline_exec_departures_rd,baseline_exec_rate_py_rd,exec_departure_30_bd,ceo_departure_30_bd,director_departure_30_bd,any_502_30_bd,exec_departure_nopre_30_bd,exec_departure_90_bd,ceo_departure_90_bd,director_departure_90_bd,any_502_90_bd,exec_departure_nopre_90_bd,exec_departure_180_bd,ceo_departure_180_bd,director_departure_180_bd,any_502_180_bd,exec_departure_nopre_180_bd,days_to_first_exec_departure_bd,placebo_exec_departure_bd,baseline_exec_departures_bd,baseline_exec_rate_py_bd
732717,2019-01-01,2024-04-01 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0
732717,2022-06-01,2024-03-30 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,3,1.9909
732717,2022-08-30,2023-02-24 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,156.0,0,3,1.9909
732717,2023-03-01,2023-03-01 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0.6636
732717,2024-03-17,2024-04-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
732717,2024-03-26,2024-04-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
732717,2024-04-09,2024-04-09 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
732717,2024-04-14,2024-04-10 00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.6636
764180,2006-12-01,2007-01-10 00:00:00,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0,0.0
773840,2021-02-16,2021-05-03 00:00:00,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,72.0,0,4,2.6545,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,148.0,0,4,2.6545
