sample,outcome,anchor,window,version,group,n,v1_rate,v2_rate,flips_0_to_1,flips_1_to_0
Q2 scope 341,ceo_departure,rd,180,v2 primary (person-merged),treated,107,0.0748,0.0748,2,2
Q2 scope 341,ceo_departure,rd,180,v2 primary (person-merged),control,234,0.094,0.094,0,0
Q2 scope 341,ceo_departure,rd,180,v2 rs (restatement-dated),treated,107,0.0748,0.0935,2,0
Q2 scope 341,ceo_departure,rd,180,v2 rs (restatement-dated),control,234,0.094,0.094,0,0
Q2 scope 341,ceo_departure,bd,30,v2 primary (person-merged),treated,107,0.0,0.0,0,0
Q2 scope 341,ceo_departure,bd,30,v2 primary (person-merged),control,234,0.0256,0.0171,0,2
Q2 scope 341,ceo_departure,bd,30,v2 rs (restatement-dated),treated,107,0.0,0.0187,2,0
Q2 scope 341,ceo_departure,bd,30,v2 rs (restatement-dated),control,234,0.0256,0.0256,0,0
Q2 scope 341,ceo_departure,bd,90,v2 primary (person-merged),treated,107,0.0187,0.0187,0,0
Q2 scope 341,ceo_departure,bd,90,v2 primary (person-merged),control,234,0.0342,0.0256,0,2
Q2 scope 341,ceo_departure,bd,90,v2 rs (restatement-dated),treated,107,0.0187,0.0374,2,0
Q2 scope 341,ceo_departure,bd,90,v2 rs (restatement-dated),control,234,0.0342,0.0342,0,0
Q2 scope 341,ceo_departure,bd,180,v2 primary (person-merged),treated,107,0.0467,0.028,0,2
Q2 scope 341,ceo_departure,bd,180,v2 primary (person-merged),control,234,0.0769,0.0684,0,2
Q2 scope 341,ceo_departure,bd,180,v2 rs (restatement-dated),treated,107,0.0467,0.0654,2,0
Q2 scope 341,ceo_departure,bd,180,v2 rs (restatement-dated),control,234,0.0769,0.0769,0,0
Q2 scope 341,director_departure,rd,30,v2 primary (person-merged),treated,107,0.1028,0.0748,0,3
Q2 scope 341,director_departure,rd,30,v2 primary (person-merged),control,234,0.0085,0.0128,1,0
Q2 scope 341,director_departure,rd,30,v2 rs (restatement-dated),treated,107,0.1028,0.0841,0,2
Q2 scope 341,director_departure,rd,30,v2 rs (restatement-dated),control,234,0.0085,0.0128,1,0
Q2 scope 341,director_departure,rd,90,v2 primary (person-merged),treated,107,0.1776,0.1682,0,1
Q2 scope 341,director_departure,rd,90,v2 primary (person-merged),control,234,0.0556,0.0684,3,0
Q2 scope 341,director_departure,rd,90,v2 rs (restatement-dated),treated,107,0.1776,0.1776,0,0
Q2 scope 341,director_departure,rd,90,v2 rs (restatement-dated),control,234,0.0556,0.0684,3,0
Q2 scope 341,director_departure,rd,180,v2 primary (person-merged),treated,107,0.2056,0.1963,0,1
Q2 scope 341,director_departure,rd,180,v2 primary (person-merged),control,234,0.1624,0.1795,6,2
Q2 scope 341,director_departure,rd,180,v2 rs (restatement-dated),treated,107,0.2056,0.2056,0,0
Q2 scope 341,director_departure,rd,180,v2 rs (restatement-dated),control,234,0.1624,0.188,6,0
Q2 scope 341,director_departure,bd,30,v2 primary (person-merged),treated,107,0.0654,0.0467,0,2
Q2 scope 341,director_departure,bd,30,v2 primary (person-merged),control,234,0.0171,0.0214,1,0
Q2 scope 341,director_departure,bd,30,v2 rs (restatement-dated),treated,107,0.0654,0.0467,0,2
Q2 scope 341,director_departure,bd,30,v2 rs (restatement-dated),control,234,0.0171,0.0214,1,0
Q2 scope 341,director_departure,bd,90,v2 primary (person-merged),treated,107,0.1869,0.1869,0,0
Q2 scope 341,director_departure,bd,90,v2 primary (person-merged),control,234,0.0812,0.0983,4,0
Q2 scope 341,director_departure,bd,90,v2 rs (restatement-dated),treated,107,0.1869,0.1869,0,0
Q2 scope 341,director_departure,bd,90,v2 rs (restatement-dated),control,234,0.0812,0.0983,4,0
Q2 scope 341,director_departure,bd,180,v2 primary (person-merged),treated,107,0.2336,0.2336,0,0
Q2 scope 341,director_departure,bd,180,v2 primary (person-merged),control,234,0.1667,0.1795,3,0
Q2 scope 341,director_departure,bd,180,v2 rs (restatement-dated),treated,107,0.2336,0.2336,0,0
Q2 scope 341,director_departure,bd,180,v2 rs (restatement-dated),control,234,0.1667,0.1795,3,0
