accession,sub_row,person,title,role_class,action,verb,sentence
0001104659-16-110903,2,Mr. Brian,"Controller, has been appointed as Senior Vice President",PAO,appointment,appointed,"Mr. Brian D. Savoy, currently Senior Vice President, Chief Accounting Officer and Controller, has been appointed as Senior Vice President, Business Transformation and Technology, also effective May 16, 2016."
0001104659-16-119780,1,Currens Jr,"Senior Vice President, Chief Accounting Officer and Controller",PAO,appointment,appointed,"(e) On April 12, 2016, Duke Energy Corporation (“Duke Energy”) announced that Mr. William E. Currens Jr. has been appointed to the position of Senior Vice President, Chief Accounting Officer and Controller, effective May 16, 2016."
0001326160-16-000368,1,"William E. Webster, Jr.",director,director,election,elect,"On August 25, 2016, William E. Webster, Jr. was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (the “Corporation”), effective September 1, 2016."
0001326160-16-000368,2,Mr. Webster,director,director,election,elect,"Mr. Webster has been appointed to the Nuclear Oversight Committee and Regulatory Policy and Operations Committee of the Board effective September 1, 2016."
0001104659-16-148226,1,Mr. Skains,director,director,election,elect,"Pursuant to the Merger Agreement, Mr. Skains was appointed to the Board of Directors of Duke Energy (the “ Board ”), effective as of the Effective Time."
0001326160-17-000011,1,"Theodore F. Craver, Jr.",director,director,election,elect,"On February 23, 2017, Theodore F. Craver, Jr. was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (the “Corporation”), effective March 1, 2017."
0001326160-17-000011,2,Mr. Craver,director,director,election,elect,"Mr. Craver has been appointed to the Finance and Risk Management Committee and Regulatory Policy and Operations Committee of the Board, effective March 1, 2017."
0001104659-17-053547,1,Michael J. Angelakis,Board of Directors,director,departure,resign,"On August 24, 2017, director Michael J. Angelakis notified Duke Energy Corporation (the “Corporation”) that effective August 25, 2017, he would resign from the Corporation’s Board of Directors due to increased external business commitments."
0001326160-17-000184,1,Robert M. Davis,director,director,election,elect,"On December 14, 2017, Robert M. Davis was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (the “Corporation”), effective January 8, 2018."
0001326160-17-000184,2,Robert M. Davis,director,director,election,elect,Mr. Davis has been appointed to the Board’s Audit Committee and Finance and Risk Management Committee.
0001326160-19-000166,1,Nicholas C. Fanandakis,director,director,election,elect,"On June 26, 2019, Nicholas C. Fanandakis was appointed to the Board of Directors (the “Board”) of Duke Energy Corporation (”Duke Energy”), effective immediately."
0001326160-19-000166,2,Nicholas C. Fanandakis,director,director,election,elect,Mr. Fanandakis has been appointed to the Board’s Audit Committee and Finance and Risk Management Committee.
0001410578-19-000740,1,External Affairs,"Chief Legal Officer, will become Executive Vice President, External Affairs and President",president,appointment,will become,"Effective October 1, 2019, Ms. Julie S. Janson, currently Executive Vice President, External Affairs and Chief Legal Officer, will become Executive Vice President, External Affairs and President, Carolinas Region."
0001326160-21-000105,1,William E. Kennard,director,director,departure,not to stand for re-election,"Neither director’s decision not to stand for re-election was the result of any disagreement with the Corporation on any matter relating to the operation, policies, or practices of the Corporation."
0001104659-21-043714,1,Mr. Dwight,"Controller, has been appointed as Senior Vice President, Supply Chain and Chief Procurement Officer",PAO,appointment,appointed,"On March 30, 2021, the Corporation also announced that Mr. Dwight L. Jacobs, currently Senior Vice President, Tax, Chief Accounting Officer and Controller, has been appointed as Senior Vice President, Supply Chain and Chief Procurement Officer, effective May 16, 2021, and that Ms. Cynthia S. Lee has been appointed as Vice President, Chief Accounting Officer and Controller, also effective May 16, 2021."
0001104659-21-064570,1,Ms. Cynthia,"Vice President, Chief Accounting Officer and Controller",PAO,appointment,appointed,"(e) On March 30, 2021, Duke Energy Corporation (the “Corporation”) announced that Ms. Cynthia S. Lee has been appointed to the position of Vice President, Chief Accounting Officer and Controller, effective May 16, 2021."
0001326160-21-000219,1,Mr. Douglas,"Executive Vice President, Energy Solutions and President",president,departure,retired,"On September 22, 2021, Duke Energy Business Services, LLC, a subsidiary of Duke Energy Corporation, entered into a Consulting Agreement (the “Consulting Agreement”) with Mr. Douglas F Esamann, who retired as Executive Vice President, Energy Solutions and President, Midwest/Florida Regions and Natural Gas Business effective August 1, 2021."
0001104659-21-138544,1,Dr. Kesner,director,director,election,elect,"New Director On November 13, 2021 the Board appointed Dr. Kesner to the Board, effective November 15, 2021, with an initial term expiring at the 2022 Annual Meeting."
0001104659-21-138544,2,Dr. Kesner,director,director,election,elect,"There are no arrangements or understandings between Dr. Kesner and any other person pursuant to which Dr. Kesner was elected to the Board, other than with respect to the matters referred to in"
0001193125-12-277735,1,North America Sales,Executive Vice President,other_exec,departure,decided to leave,"Keith Block, Executive Vice President, North America Sales and Consulting, and a named executive officer of Oracle Corporation (“Oracle”), has decided to leave Oracle and pursue other opportunities."
0001193125-13-037562,1,Donald L. Lucas,Board of Directors,director,departure,resignation,"On February 4, 2013, Donald L. Lucas notified Oracle Corporation (the “Corporation”) that, after more than 30 years of service to the Corporation, he is retiring and has tendered his resignation as a member of the Corporation’s Board of Directors and any committees thereof, effective immediately."
0001373715-22-000309,1,Dennis M. Woodside,Board of Directors (the “Board,director,departure,resignation,"(b) On August 22, 2022, Dennis M. Woodside informed ServiceNow, Inc. (the “Company”) of his resignation from the Board of Directors (the “Board”), effective as of August 26, 2022."
0001373715-22-000329,1,Sukumar Rathnam,"Board of Directors (the ""Board",director,departure,resignation,"On October 23, 2022, Sukumar Rathnam informed ServiceNow, Inc. of his resignation from the Board of Directors (the ""Board""), effective as of December 1, 2022."
0001373715-23-000016,1,Mr. Desai,President and Chief Operating Officer,COO,appointment,promoted,There are no arrangements or understandings between Mr. Desai and any other person pursuant to which Mr. Desai was promoted as President and Chief Operating Officer.
0001373715-23-000162,1,,director,director,election,elect,"On April 25, 2023, the Board of Directors (the “Board”) of the ServiceNow, Inc. (the “Company”) expanded the size of the Board from ten to eleven members and appointed Deborah Black to serve as a director."
0001373715-23-000162,2,Deborah Black,director,director,election,elect,"Ms. Black has not been, and is not expected to be, named to any committee of the Board at this time."
0001373715-23-000162,3,Lara Caimi,Chief Customer Officer,other_exec,departure,resign,"Separately, on April 24, 2023, Lara Caimi notified the Company of her decision to resign as Chief Customer Officer and GM, Impact and Services, effective May 31, 2023, in order to pursue another career opportunity."
0001373715-24-000269,1,Mr. Desai,President and Chief Operating Officer,COO,departure,resignation,"Separation Agreement with President and Chief Operating Officer In connection with his mutually agreed resignation, Mr. Desai and the Company entered into a separation and release agreement (the “Separation Agreement”), dated as of July 24, 2024."
0001373715-24-000269,2,Chris Bedi,Chief Product Officer,other_exec,appointment,Appointment,"Appointment of Interim Chief Product Officer The Company has appointed Chris Bedi as Interim Chief Product Officer, effective immediately."
0001373715-24-000342,1,Amit Zavery,President Chief Product Officer Chief Operating Officer,COO,departure,departure,"In addition, to replace the estimated value of outstanding equity from his prior employer that will be forfeited upon his departure, the Employment Agreement provides that Mr. Zavery is eligible to receive a grant of Company equity with a grant date value of $29,000,000 that will consist of a time-based restricted stock unit award (the “ RSU Grant ”) and a performance-based restricted stock unit award (the “ PRSU Grant ”)."
0001373715-24-000342,2,Amit Zavery,"President, Chief Product Officer and Chief Operating Officer",COO,appointment,appointed,"There are no arrangements or understandings between Mr. Zavery and any other persons, pursuant to which he was appointed President, Chief Product Officer and Chief Operating Officer."
0001193125-22-004090,1,Scott Rosenberg,Senior Vice President,other_exec,departure,step down,"On January 7, 2022, Roku, Inc. (the “Company”) announced that Scott Rosenberg, Senior Vice President and General Manager of Platform Business, advised the Company that he plans to step down sometime in the spring of 2022."
0001193125-22-004090,2,Scott Rosenberg,Senior Vice President,other_exec,departure,departure,A copy of the Company’s press release announcing Mr. Rosenberg’s expected departure is attached hereto as Exhibit 99.1 and is incorporated herein by reference.
0001428439-22-000033,1,Steve Louden,Chief Financial Officer,CFO,departure,leave the Company,"On October 31, 2022, Steve Louden, Chief Financial Officer of Roku, Inc. (the “Company”), advised us that after helping us recruit and transition his role to a successor he plans to leave the Company."
0001428439-22-000038,1,Matthew Banks,"Vice President, Corporate Controller and Chief Accounting Officer",PAO,appointment,appointed,"On December 13, 2022, Roku, Inc. (the “Company”) appointed Matthew Banks as the Company’s Vice President, Corporate Controller and Chief Accounting Officer."
0001428439-22-000038,2,Matthew Banks,principal accounting officer,PAO,appointment,will serve as,"In his new role, Mr. Banks will serve as the Company’s principal accounting officer."
0001193125-23-063903,1,Dan Jedda,Chief Financial Officer,CFO,appointment,appointment,"On March 8, 2023, Roku, Inc. (the “Company”) announced the appointment of Dan Jedda, 51, as the Company’s Chief Financial Officer, effective May 1, 2023 (the “Effective Date”)."
0001193125-23-063903,2,Stitch Fix,Chief Financial Officer,CFO,departure,step down,"Mr. Jedda has served as the Chief Financial Officer of Stitch Fix, Inc. since December 2020 and will step down from that role in April 2023."
