cik,form,filing_date,items,accession,primary_doc,size,in_spec_scope,local_file
789019,8-K,2015-09-11,5.02,0001193125-15-318450,d37036d8k.htm,12550,0,Data\edgar\item5_02_text\789019\0001193125-15-318450_d37036d8k.htm
789019,8-K,2016-07-07,5.02,0001193125-16-643151,d226559d8k.htm,11566,1,Data\edgar\item5_02_text\789019\0001193125-16-643151_d226559d8k.htm
789019,8-K,2017-03-14,"5.02,9.01",0001193125-17-082168,d303439d8k.htm,21972,1,Data\edgar\item5_02_text\789019\0001193125-17-082168_d303439d8k.htm
789019,8-K,2017-09-19,"5.02,9.01",0001193125-17-288464,d447207d8k.htm,23605,1,Data\edgar\item5_02_text\789019\0001193125-17-288464_d447207d8k.htm
789019,8-K,2017-11-30,"5.02,5.07",0001193125-17-357415,d485065d8k.htm,55037,1,Data\edgar\item5_02_text\789019\0001193125-17-357415_d485065d8k.htm
789019,8-K,2018-09-19,"5.02,9.01",0001193125-18-277602,d602842d8k.htm,38421,0,Data\edgar\item5_02_text\789019\0001193125-18-277602_d602842d8k.htm
789019,8-K,2019-09-19,"5.02,9.01",0001193125-19-249565,d797112d8k.htm,27302,1,Data\edgar\item5_02_text\789019\0001193125-19-249565_d797112d8k.htm
789019,8-K,2020-03-13,"5.02,9.01",0001193125-20-073072,d884867d8k.htm,210079,1,Data\edgar\item5_02_text\789019\0001193125-20-073072_d884867d8k.htm
789019,8-K,2020-07-01,5.02,0001193125-20-184744,d949734d8k.htm,200862,1,Data\edgar\item5_02_text\789019\0001193125-20-184744_d949734d8k.htm
789019,8-K,2020-07-07,5.02,0001193125-20-188481,d88910d8k.htm,200203,1,Data\edgar\item5_02_text\789019\0001193125-20-188481_d88910d8k.htm
789019,8-K,2021-05-20,5.02,0001193125-21-167940,d171596d8k.htm,197532,1,Data\edgar\item5_02_text\789019\0001193125-21-167940_d171596d8k.htm
789570,8-K,2018-03-15,"5.02,9.01",0001193125-18-084015,d551820d8k.htm,36892,0,Data\edgar\item5_02_text\789570\0001193125-18-084015_d551820d8k.htm
789570,8-K,2018-08-22,"5.02,9.01",0001193125-18-255165,d610341d8k.htm,40478,1,Data\edgar\item5_02_text\789570\0001193125-18-255165_d610341d8k.htm
789570,8-K,2018-10-11,"5.02,9.01",0001193125-18-297663,d633159d8k.htm,82696,1,Data\edgar\item5_02_text\789570\0001193125-18-297663_d633159d8k.htm
789570,8-K,2019-01-18,"5.02,9.01",0001193125-19-012788,d685192d8k.htm,39245,1,Data\edgar\item5_02_text\789570\0001193125-19-012788_d685192d8k.htm
789570,8-K,2019-02-22,"5.02,9.01",0001193125-19-048428,d689692d8k.htm,95627,1,Data\edgar\item5_02_text\789570\0001193125-19-048428_d689692d8k.htm
789570,8-K,2020-02-14,"5.02,9.01",0001193125-20-038441,d870226d8k.htm,273383,1,Data\edgar\item5_02_text\789570\0001193125-20-038441_d870226d8k.htm
789570,8-K,2021-12-30,5.02,0001193125-21-370665,d285126d8k.htm,140258,0,Data\edgar\item5_02_text\789570\0001193125-21-370665_d285126d8k.htm
789570,8-K,2022-05-09,"5.02,5.07,9.01",0001193125-22-145101,d276126d8k.htm,349895,0,Data\edgar\item5_02_text\789570\0001193125-22-145101_d276126d8k.htm
789570,8-K,2022-06-24,"1.01,5.02,9.01",0000789570-22-000020,mgm-20220620.htm,213030,0,Data\edgar\item5_02_text\789570\0000789570-22-000020_mgm-20220620.htm
789570,8-K,2022-08-22,"5.02,9.01",0001193125-22-226494,d337126d8k.htm,1119017,0,Data\edgar\item5_02_text\789570\0001193125-22-226494_d337126d8k.htm
789570,8-K,2023-03-01,"5.02,9.01",0001193125-23-056496,d465171d8k.htm,169537,1,Data\edgar\item5_02_text\789570\0001193125-23-056496_d465171d8k.htm
796343,8-K,2011-12-15,"2.02,5.02,9.01",0001104659-11-069679,a11-31720_18k.htm,770296,0,Data\edgar\item5_02_text\796343\0001104659-11-069679_a11-31720_18k.htm
796343,8-K,2012-01-26,"5.02,9.01",0001104659-12-004271,a12-3470_18k.htm,770126,0,Data\edgar\item5_02_text\796343\0001104659-12-004271_a12-3470_18k.htm
796343,8-K,2012-04-13,"5.02,5.07,8.01,9.01",0001104659-12-025271,a12-9614_18k.htm,444253,0,Data\edgar\item5_02_text\796343\0001104659-12-025271_a12-9614_18k.htm
796343,8-K,2012-05-14,"5.02,9.01",0001104659-12-036984,a12-12167_18k.htm,36345,0,Data\edgar\item5_02_text\796343\0001104659-12-036984_a12-12167_18k.htm
796343,8-K/A,2012-06-29,5.02,0001104659-12-047044,a12-15738_18ka.htm,18764,0,Data\edgar\item5_02_text\796343\0001104659-12-047044_a12-15738_18ka.htm
796343,8-K,2012-12-05,"5.02,9.01",0001104659-12-082162,a12-28685_18k.htm,172238,1,Data\edgar\item5_02_text\796343\0001104659-12-082162_a12-28685_18k.htm
796343,8-K,2013-01-28,"5.02,9.01",0000796343-13-000017,a8-kxitem502xjanuary2013.htm,766690,1,Data\edgar\item5_02_text\796343\0000796343-13-000017_a8-kxitem502xjanuary2013.htm
796343,8-K,2013-03-19,"2.02,5.02,9.01",0000796343-13-000030,adbe8kq113.htm,284435,1,Data\edgar\item5_02_text\796343\0000796343-13-000030_adbe8kq113.htm
796343,8-K,2013-04-12,"5.02,5.07,9.01",0000796343-13-000036,a8-kannualmeetingresults.htm,391801,1,Data\edgar\item5_02_text\796343\0000796343-13-000036_a8-kannualmeetingresults.htm
796343,8-K,2014-01-29,"5.02,9.01",0000796343-14-000007,a8-kxitem502xjanuary2014.htm,334740,1,Data\edgar\item5_02_text\796343\0000796343-14-000007_a8-kxitem502xjanuary2014.htm
796343,8-K,2017-12-14,"2.02,5.02,9.01",0000796343-17-000188,adbe8kfy17.htm,508068,0,Data\edgar\item5_02_text\796343\0000796343-17-000188_adbe8kfy17.htm
796343,8-K,2018-01-26,"5.02,9.01",0000796343-18-000039,adbe8-k20180126.htm,567948,0,Data\edgar\item5_02_text\796343\0000796343-18-000039_adbe8-k20180126.htm
796343,8-K,2018-04-05,"5.02,9.01",0000796343-18-000072,a8-k20180405.htm,37370,0,Data\edgar\item5_02_text\796343\0000796343-18-000072_a8-k20180405.htm
796343,8-K,2018-04-13,"5.02,5.07,9.01",0000796343-18-000088,a8-k20180413.htm,316411,0,Data\edgar\item5_02_text\796343\0000796343-18-000088_a8-k20180413.htm
796343,8-K,2018-11-19,5.02,0000796343-18-000179,adbe8-k11192018xcao.htm,23339,1,Data\edgar\item5_02_text\796343\0000796343-18-000179_adbe8-k11192018xcao.htm
796343,8-K,2019-01-24,"5.02,9.01",0000796343-19-000008,adbe8-k1222019xdirectors.htm,66043,1,Data\edgar\item5_02_text\796343\0000796343-19-000008_adbe8-k1222019xdirectors.htm
796343,8-K,2019-01-28,"5.02,9.01",0000796343-19-000024,adbe8-k20190128.htm,660568,1,Data\edgar\item5_02_text\796343\0000796343-19-000024_adbe8-k20190128.htm
796343,8-K,2019-04-12,"5.02,5.07,9.01",0000796343-19-000091,adbe8-k20190412.htm,315736,1,Data\edgar\item5_02_text\796343\0000796343-19-000091_adbe8-k20190412.htm
796343,8-K,2020-01-30,"5.02,9.01",0000796343-20-000040,adbe8-k13020.htm,6014013,1,Data\edgar\item5_02_text\796343\0000796343-20-000040_adbe8-k13020.htm
796343,8-K,2020-04-10,"5.02,5.07",0000796343-20-000085,adbe8-k041020.htm,389566,1,Data\edgar\item5_02_text\796343\0000796343-20-000085_adbe8-k041020.htm
815097,8-K,2019-01-16,"5.02,9.01",0001193125-19-010578,d691897d8k.htm,39922,0,Data\edgar\item5_02_text\815097\0001193125-19-010578_d691897d8k.htm
815097,8-K,2020-04-21,"5.02,9.01",0000815097-20-000033,usrelease-bodupdate.htm,340990,1,Data\edgar\item5_02_text\815097\0000815097-20-000033_usrelease-bodupdate.htm
815097,8-K,2020-12-04,5.02,0000815097-20-000111,ccl-20201130.htm,318138,1,Data\edgar\item5_02_text\815097\0000815097-20-000111_ccl-20201130.htm
815097,8-K,2021-03-03,5.02,0000815097-21-000033,ccl-20210301.htm,310536,1,Data\edgar\item5_02_text\815097\0000815097-21-000033_ccl-20210301.htm
815097,8-K,2022-04-27,"5.02,9.01",0001104659-22-051225,tm2213670d1_8k.htm,322064,1,Data\edgar\item5_02_text\815097\0001104659-22-051225_tm2213670d1_8k.htm
815097,8-K,2022-05-16,5.02,0001104659-22-061290,tm2215651d1_8k.htm,305787,1,Data\edgar\item5_02_text\815097\0001104659-22-061290_tm2215651d1_8k.htm
815097,8-K,2022-06-24,5.02,0000815097-22-000047,ccl-20220623.htm,306170,1,Data\edgar\item5_02_text\815097\0000815097-22-000047_ccl-20220623.htm
823768,8-K,2019-02-25,"5.02,9.01",0001104659-19-010295,a19-5282_18k.htm,246876,0,Data\edgar\item5_02_text\823768\0001104659-19-010295_a19-5282_18k.htm
823768,8-K,2019-08-22,"5.02,9.01",0001410578-19-000883,tv528069_8k.htm,206681,0,Data\edgar\item5_02_text\823768\0001410578-19-000883_tv528069_8k.htm
823768,8-K,2020-02-25,"5.02,9.01",0001104659-20-024590,tm207498-2_8k.htm,466577,1,Data\edgar\item5_02_text\823768\0001104659-20-024590_tm207498-2_8k.htm
823768,8-K/A,2020-04-02,"5.02,9.01",0001104659-20-042259,tm2014773-1_8k.htm,201124,1,Data\edgar\item5_02_text\823768\0001104659-20-042259_tm2014773-1_8k.htm
823768,8-K,2021-03-01,"5.02,9.01",0001104659-21-029723,tm216945d2_8k.htm,368266,1,Data\edgar\item5_02_text\823768\0001104659-21-029723_tm216945d2_8k.htm
823768,8-K,2021-03-16,"5.02,9.01",0001104659-21-036763,tm219849d1_8k.htm,220361,1,Data\edgar\item5_02_text\823768\0001104659-21-036763_tm219849d1_8k.htm
831259,8-K/A,2021-11-04,"5.02,8.01",0000831259-21-000035,fcx-20210802.htm,187629,0,Data\edgar\item5_02_text\831259\0000831259-21-000035_fcx-20210802.htm
831259,8-K,2021-12-10,"5.02,9.01",0000831259-21-000040,fcx-20211209.htm,694953,0,Data\edgar\item5_02_text\831259\0000831259-21-000040_fcx-20211209.htm
831259,8-K/A,2022-02-08,"5.02,8.01",0000831259-22-000006,fcx-20211209.htm,188530,0,Data\edgar\item5_02_text\831259\0000831259-22-000006_fcx-20211209.htm
831259,8-K,2022-03-09,5.02,0000831259-22-000015,fcx-20220309.htm,174528,0,Data\edgar\item5_02_text\831259\0000831259-22-000015_fcx-20220309.htm
831259,8-K,2023-02-08,"5.02,9.01",0000831259-23-000007,fcx-20230207.htm,669295,1,Data\edgar\item5_02_text\831259\0000831259-23-000007_fcx-20230207.htm
831259,8-K,2024-02-09,"5.02,9.01",0000831259-24-000005,fcx-20240206.htm,737869,1,Data\edgar\item5_02_text\831259\0000831259-24-000005_fcx-20240206.htm
858877,8-K,2011-02-23,5.02,0001193125-11-043592,d8k.htm,15550,0,Data\edgar\item5_02_text\858877\0001193125-11-043592_d8k.htm
858877,8-K,2011-03-16,"1.01,5.02,8.01,9.01",0001193125-11-067985,d8k.htm,445831,0,Data\edgar\item5_02_text\858877\0001193125-11-067985_d8k.htm
858877,8-K/A,2011-03-22,5.02,0001193125-11-073802,d8ka.htm,14146,0,Data\edgar\item5_02_text\858877\0001193125-11-073802_d8ka.htm
858877,8-K,2011-09-20,"5.02,9.01",0001193125-11-252379,d233696d8k.htm,64868,1,Data\edgar\item5_02_text\858877\0001193125-11-252379_d233696d8k.htm
858877,8-K,2011-12-08,"5.02,5.07,9.01",0001193125-11-335127,d266515d8k.htm,797510,1,Data\edgar\item5_02_text\858877\0001193125-11-335127_d266515d8k.htm
858877,8-K,2012-08-02,5.02,0001193125-12-332045,d389962d8k.htm,16741,1,Data\edgar\item5_02_text\858877\0001193125-12-332045_d389962d8k.htm
858877,8-K,2012-09-19,"5.02,8.01",0001193125-12-396875,d413605d8k.htm,15533,1,Data\edgar\item5_02_text\858877\0001193125-12-396875_d413605d8k.htm
858877,8-K,2012-10-04,"5.02,5.03,9.01",0001193125-12-415386,d420303d8k.htm,85163,1,Data\edgar\item5_02_text\858877\0001193125-12-415386_d420303d8k.htm
872589,8-K,2008-11-20,5.02,0000950123-08-015831,y72730e8vk.htm,12661,0,Data\edgar\item5_02_text\872589\0000950123-08-015831_y72730e8vk.htm
872589,8-K,2010-11-15,"5.02,9.01",0001206774-10-002373,regeneron_8k.htm,45345,1,Data\edgar\item5_02_text\872589\0001206774-10-002373_regeneron_8k.htm
896878,8-K,2006-08-17,"5.02,9.01",0000950134-06-016417,f23154e8vk.htm,19474,0,Data\edgar\item5_02_text\896878\0000950134-06-016417_f23154e8vk.htm
896878,8-K,2006-10-27,"1.01,5.02",0000950134-06-019813,f24517e8vk.htm,13832,0,Data\edgar\item5_02_text\896878\0000950134-06-019813_f24517e8vk.htm
896878,8-K,2007-02-28,"5.02,9.01",0000950134-07-004389,f27833e8vk.htm,19437,0,Data\edgar\item5_02_text\896878\0000950134-07-004389_f27833e8vk.htm
896878,8-K,2007-06-11,"5.02,9.01",0000950134-07-013237,f31085e8vk.htm,20447,1,Data\edgar\item5_02_text\896878\0000950134-07-013237_f31085e8vk.htm
896878,8-K,2007-06-14,"5.02,9.01",0000950134-07-013435,f31168e8vk.htm,68835,1,Data\edgar\item5_02_text\896878\0000950134-07-013435_f31168e8vk.htm
896878,8-K,2007-07-30,"5.02,9.01",0000950134-07-016170,f32322e8vk.htm,46935,1,Data\edgar\item5_02_text\896878\0000950134-07-016170_f32322e8vk.htm
896878,8-K,2007-08-22,"2.02,5.02,9.01",0000891618-07-000516,f33043e8vk.htm,292174,1,Data\edgar\item5_02_text\896878\0000891618-07-000516_f33043e8vk.htm
896878,8-K,2007-10-05,"5.02,9.01",0000950134-07-020924,f34301e8vk.htm,65489,1,Data\edgar\item5_02_text\896878\0000950134-07-020924_f34301e8vk.htm
896878,8-K,2007-10-26,5.02,0000950134-07-022010,f34854e8vk.htm,10299,1,Data\edgar\item5_02_text\896878\0000950134-07-022010_f34854e8vk.htm
896878,8-K,2007-11-08,"5.02,9.01",0000950134-07-023354,f35310e8vk.htm,55985,1,Data\edgar\item5_02_text\896878\0000950134-07-023354_f35310e8vk.htm
896878,8-K,2007-12-17,"5.02,9.01",0000950134-07-025545,f36499e8vk.htm,41752,1,Data\edgar\item5_02_text\896878\0000950134-07-025545_f36499e8vk.htm
896878,8-K,2008-02-08,"5.02,9.01",0000950134-08-001977,f37812e8vk.htm,88687,1,Data\edgar\item5_02_text\896878\0000950134-08-001977_f37812e8vk.htm
896878,8-K,2008-07-25,"5.02,9.01",0000950134-08-013312,f42434e8vk.htm,45442,1,Data\edgar\item5_02_text\896878\0000950134-08-013312_f42434e8vk.htm
896878,8-K,2008-10-28,5.02,0000950134-08-018583,f50264e8vk.htm,11066,1,Data\edgar\item5_02_text\896878\0000950134-08-018583_f50264e8vk.htm
896878,8-K,2008-12-02,"5.02,9.01",0000950134-08-021520,f50751e8vk.htm,41917,1,Data\edgar\item5_02_text\896878\0000950134-08-021520_f50751e8vk.htm
896878,8-K,2008-12-19,"5.02,8.01,9.01",0000950134-08-022449,f50905e8vk.htm,19984,1,Data\edgar\item5_02_text\896878\0000950134-08-022449_f50905e8vk.htm
896878,8-K,2012-04-26,"5.02,9.01",0001193125-12-186061,d341240d8k.htm,24528,0,Data\edgar\item5_02_text\896878\0001193125-12-186061_d341240d8k.htm
896878,8-K,2012-07-27,"5.02,8.01,9.01",0001193125-12-319554,d386790d8k.htm,140286,0,Data\edgar\item5_02_text\896878\0001193125-12-319554_d386790d8k.htm
896878,8-K,2013-05-20,"5.02,9.01",0000896878-13-000062,pressrelease05-20x138xkshe.htm,60909,1,Data\edgar\item5_02_text\896878\0000896878-13-000062_pressrelease05-20x138xkshe.htm
896878,8-K,2013-07-19,5.02,0001193125-13-295758,d568831d8k.htm,12624,1,Data\edgar\item5_02_text\896878\0001193125-13-295758_d568831d8k.htm
896878,8-K,2013-07-25,5.02,0001193125-13-302682,d575840d8k.htm,22273,1,Data\edgar\item5_02_text\896878\0001193125-13-302682_d575840d8k.htm
896878,8-K,2014-01-24,"5.02,5.07,9.01",0001193125-14-020495,d660005d8k.htm,36639,1,Data\edgar\item5_02_text\896878\0001193125-14-020495_d660005d8k.htm
