breach_date,reported_date,accession,filing_date,days_from_reported,items,items_7_01_8_01_1_05,incident_sentences,first_incident_passages
2021-03-01,2021-08-16,0001193125-21-249635,2021-08-18,2,"7.01,9.01",1,6,"[d202902d8k.htm] On August 17, 2021, T-Mobile US, Inc. (“T-Mobile,” “we,” “our” or “us”) issued a press release providing an update on our ongoing investigation into the recent cyberattack against T-Mobile. || [d202902dex991.htm] EX-99.1 2 d202902dex991.htm EX-99.1 EX-99.1 Exhibit 99.1 T-Mobile Shares Additional Information Regarding Ongoing Cyberattack Investigation BELLEVUE, Wash. — August 17, 2021 — As we shared yesterday, we have been urgently investigating the highly sophisticated cyberattack against T-Mobile systems, and in an effort to keep our customers and other stakeholders informed we are providing the latest information we have on this event and some additional details: • Late last week we were informed of claims made in an online forum that a bad actor had compromised T-Mobile systems. || [d202902dex991.htm] We immediately began an exhaustive investigation into these claims and brought in world-leading cybersecurity experts to help with our assessment. • We then located and immediately closed the access point that we believe was used to illegally gain entry to our servers. • Yesterday, we were able to verify that a subset of T-Mobile data had been accessed by unauthorized individuals. || [d202902dex991.htm] Importantly, no phone numbers, account numbers, PINs, passwords, or financial information were compromised in any of these files of customers or prospective customers. • As a result of this finding, we are taking immediate steps to help protect all of the individuals who may be at risk from this cyberattack."
2021-03-01,2021-08-16,0001193125-21-251974,2021-08-20,4,7.01,1,5,"[d362750d8k.htm] On August 20, 2021, T-Mobile US, Inc. (“T-Mobile,” “we,” “our” or “us”) posted the following statement to its website: T-Mobile Shares Updated Information Regarding Ongoing Investigation into Cyberattack (8/20/21) We have continued to work around the clock on the forensic analysis and investigation into the cyberattack against T-Mobile systems while also taking a number of proactive steps to protect customers and others whose information may have been exposed. || [d362750d8k.htm] Our investigation is ongoing and will continue for some time, but at this point, we are confident that we have closed off the access and egress points the bad actor used in the attack. || [d362750d8k.htm] Below is what we know to date. • We previously reported information from approximately 7.8 million current T-Mobile postpaid customer accounts that included first and last names, date of birth, SSN, and driver’s license/ID information was compromised. || [d362750d8k.htm] We are continuing to take action to protect everyone at risk from this cyberattack, including those additional persons we recently identified."
2021-03-01,2021-08-16,0001193125-21-258261,2021-08-27,11,7.01,1,18,"[d223733d8k.htm] On August 27, 2021, T-Mobile US, Inc. (“T-Mobile,” “we,” “our” or “us”) posted the following statement to its website: The Cyberattack Against T-Mobile and Our Customers: What happened, and what we are doing about it. || [d223733d8k.htm] By Mike Sievert CEO, T-Mobile The last two weeks have been humbling for all of us at T-Mobile as we have worked tirelessly to navigate a malicious cyberattack on our systems. || [d223733d8k.htm] On August 17 th we confirmed that T-Mobile’s systems were subject to a criminal cyberattack that compromised data of millions of our customers, former customers, and prospective customers. || [d223733d8k.htm] Fortunately, the breach did not expose any customer financial information, credit card information, debit or other payment information but, like so many breaches before, some SSN, name, address, date of birth and driver’s license/ID information was compromised."
2021-03-31,2021-03-31,0001193125-21-076354,2021-03-10,-21,5.02,0,0,
2021-03-31,2021-03-31,0001193125-21-077985,2021-03-11,-20,"7.01,9.01",1,0,
2021-03-31,2021-03-31,0001140361-21-008606,2021-03-16,-15,"8.01,9.01",1,0,
2021-03-31,2021-03-31,0001140361-21-009648,2021-03-23,-8,"1.01,2.03,8.01,9.01",1,0,
2021-03-31,2021-03-31,0001193125-21-113210,2021-04-12,12,"5.02,7.01,8.01,9.01",1,0,
2021-08-13,2021-08-16,0001283699-21-000142,2021-07-29,-18,"2.02,9.01",0,0,
2021-08-13,2021-08-16,0001193125-21-246174,2021-08-13,-3,"1.01,2.03,8.01,9.01",1,0,
2021-08-13,2021-08-16,0001193125-21-248002,2021-08-16,0,7.01,1,1,"[d131772d8k.htm] We have determined that unauthorized access to some T-Mobile data occurred, however we have not yet determined that there is any personal customer data involved."
