cik,form,filing_date,items,accession,primary_doc,local_file,on_disk
51143,8-K,2007-01-31,5.02,0001104659-07-005968,a07-1990_58k.htm,Data\edgar\item5_02_text\51143\0001104659-07-005968_a07-1990_58k.htm,1
51143,8-K,2007-02-05,5.02,0001104659-07-007260,a07-1990_78k.htm,Data\edgar\item5_02_text\51143\0001104659-07-007260_a07-1990_78k.htm,1
51143,8-K,2007-06-26,5.02,0001104659-07-049962,a07-17329_18k.htm,Data\edgar\item5_02_text\51143\0001104659-07-049962_a07-17329_18k.htm,1
51143,8-K,2007-08-01,5.02,0001104659-07-057720,a07-18155_48k.htm,Data\edgar\item5_02_text\51143\0001104659-07-057720_a07-18155_48k.htm,1
51143,8-K,2010-01-29,5.02,0001104659-10-003847,a10-2611_18k.htm,Data\edgar\item5_02_text\51143\0001104659-10-003847_a10-2611_18k.htm,1
51143,8-K,2010-12-06,5.02,0001104659-10-061274,a10-22284_18k.htm,Data\edgar\item5_02_text\51143\0001104659-10-061274_a10-22284_18k.htm,1
51143,8-K,2011-01-28,5.02,0001104659-11-003613,a11-4392_28k.htm,Data\edgar\item5_02_text\51143\0001104659-11-003613_a11-4392_28k.htm,1
51434,8-K,2022-04-14,5.02,0001193125-22-105647,d334460d8k.htm,Data\edgar\item5_02_text\51434\0001193125-22-105647_d334460d8k.htm,1
51434,8-K,2022-05-12,"5.02,7.01,9.01",0001193125-22-148419,d353540d8k.htm,Data\edgar\item5_02_text\51434\0001193125-22-148419_d353540d8k.htm,1
51434,8-K,2023-01-05,"5.02,7.01,9.01",0001193125-23-002536,d441350d8k.htm,Data\edgar\item5_02_text\51434\0001193125-23-002536_d441350d8k.htm,1
51434,8-K,2023-10-02,5.02,0001193125-23-249022,d544451d8k.htm,Data\edgar\item5_02_text\51434\0001193125-23-249022_d544451d8k.htm,1
51434,8-K,2024-02-16,5.02,0001193125-24-038571,d789158d8k.htm,Data\edgar\item5_02_text\51434\0001193125-24-038571_d789158d8k.htm,1
51434,8-K,2024-02-16,5.02,0001193125-24-038566,d763142d8k.htm,Data\edgar\item5_02_text\51434\0001193125-24-038566_d763142d8k.htm,1
51434,8-K,2024-03-19,"1.01,5.02,8.01,9.01",0001193125-24-070875,d807996d8k.htm,Data\edgar\item5_02_text\51434\0001193125-24-070875_d807996d8k.htm,1
62709,8-K,2011-10-07,"5.02,9.01",0000062709-11-000027,f8koct4-2011.htm,Data\edgar\item5_02_text\62709\0000062709-11-000027_f8koct4-2011.htm,1
62709,8-K,2012-01-18,"5.02,9.01",0000062709-12-000007,f8k_01-18x2012.htm,Data\edgar\item5_02_text\62709\0000062709-12-000007_f8k_01-18x2012.htm,1
62709,8-K,2012-03-05,5.02,0000062709-12-000018,form8-k03x05x2012.htm,Data\edgar\item5_02_text\62709\0000062709-12-000018_form8-k03x05x2012.htm,1
