final_cik,breach_date,org_name,treated,outcome_cik,last_filing,status,t0_rd,censored_30_rd,days_uncovered_30_rd,censored_90_rd,days_uncovered_90_rd,censored_180_rd,days_uncovered_180_rd,never_covered_rd,t0_bd,censored_30_bd,days_uncovered_30_bd,censored_90_bd,days_uncovered_90_bd,censored_180_bd,days_uncovered_180_bd,never_covered_bd
732717,2013-01-01,AT&T,1,732717,2026-08-04,ok,2015-04-21,0,0,0,0,0,0,0,2013-01-01,0,0,0,0,0,0,0
732717,2013-11-05,AT&T,1,732717,2026-08-04,ok,2014-06-11,0,0,0,0,0,0,0,2013-11-05,0,0,0,0,0,0,0
732717,2014-02-01,AT&T,1,732717,2026-08-04,ok,2015-04-20,0,0,0,0,0,0,0,2014-02-01,0,0,0,0,0,0,0
732717,2014-04-01,AT&T,1,732717,2026-08-04,ok,2014-06-13,0,0,0,0,0,0,0,2014-04-01,0,0,0,0,0,0,0
732717,2014-04-09,"AT&T Services, Inc.",1,732717,2026-08-04,ok,2014-06-05,0,0,0,0,0,0,0,2014-04-09,0,0,0,0,0,0,0
732717,2014-06-05,"AT&T Services, Inc.",1,732717,2026-08-04,ok,2015-04-20,0,0,0,0,0,0,0,2014-06-05,0,0,0,0,0,0,0
732717,2014-06-11,AT&T,1,732717,2026-08-04,ok,2015-04-20,0,0,0,0,0,0,0,2014-06-11,0,0,0,0,0,0,0
732717,2014-08-05,ATT-Breach Notification,0,732717,2026-08-04,ok,2014-10-02,0,0,0,0,0,0,0,2014-08-05,0,0,0,0,0,0,0
732717,2014-08-11,"AT&T Services, Inc.",1,732717,2026-08-04,ok,2014-10-01,0,0,0,0,0,0,0,2014-08-11,0,0,0,0,0,0,0
732717,2014-10-09,AT&T,1,732717,2026-08-04,ok,2014-10-09,0,0,0,0,0,0,0,2014-10-09,0,0,0,0,0,0,0
732717,2014-10-16,ATT-Breach Notification,0,732717,2026-08-04,ok,2014-12-19,0,0,0,0,0,0,0,2014-10-16,0,0,0,0,0,0,0
732717,2017-01-01,"AT&T Services, Inc.",1,732717,2026-08-04,ok,2017-05-19,0,0,0,0,0,0,0,2017-01-01,0,0,0,0,0,0,0
732717,2017-01-25,AT&T,1,732717,2026-08-04,ok,2017-05-19,0,0,0,0,0,0,0,2017-01-25,0,0,0,0,0,0,0
732717,2017-02-01,AT&T Services,1,732717,2026-08-04,ok,2017-09-14,0,0,0,0,0,0,0,2017-02-01,0,0,0,0,0,0,0
732717,2018-08-17,Cricket Wireless LLC,1,732717,2026-08-04,ok,2018-08-17,0,0,0,0,0,0,0,2018-08-17,0,0,0,0,0,0,0
732717,2018-08-21,Cricket Wireless LLC,1,732717,2026-08-04,ok,2018-08-21,0,0,0,0,0,0,0,2018-08-21,0,0,0,0,0,0,0
732717,2019-01-01,"AT&T, Inc.",1,732717,2026-08-04,ok,2024-04-01,0,0,0,0,0,0,0,2019-01-01,0,0,0,0,0,0,0
732717,2022-06-01,AT&T,1,732717,2026-08-04,ok,2024-03-30,0,0,0,0,0,0,0,2022-06-01,0,0,0,0,0,0,0
732717,2022-08-30,"AT&T Services, Inc.",1,732717,2026-08-04,ok,2023-02-24,0,0,0,0,0,0,0,2022-08-30,0,0,0,0,0,0,0
732717,2023-03-01,"AT&T Services, Inc.",1,732717,2026-08-04,ok,2023-03-01,0,0,0,0,0,0,0,2023-03-01,0,0,0,0,0,0,0
