window,final_cik,name,treated_cluster,n_events,coef_without,share,sign_flip
90,1326160,Duke Energy Corporation,0,3,-0.0328,0.0056,0
90,1326801,Facebook,0,3,-0.0363,0.0009,0
90,1336920,"Leidos, Inc.",0,1,-0.0387,0.0,0
90,1341439,Oracle Corporation,0,1,-0.0399,0.0002,0
90,1373715,ServiceNow Inc.,0,1,-0.036,0.0011,0
90,1387467,Alpha & Omega Semiconductor,0,1,-0.0386,0.0,0
90,1397911,LPL Financial LLC,0,1,-0.0392,0.0,0
90,1400891,"iHeartMedia + Entertainment, Inc.",0,1,-0.0391,0.0,0
90,1428439,Roku Inc.,0,3,-0.039,0.0,0
90,1447669,Twilio,1,2,-0.0339,0.0036,0
90,1472787,First American Financial Corporation,0,1,-0.0388,0.0,0
90,1501585,"Huntington Ingalls Industries, Inc.",0,1,-0.0388,0.0,0
90,1510295,Marathon Petroleum Company LP,0,1,-0.0339,0.0036,0
90,1512673,Block Inc,0,1,-0.0395,0.0001,0
90,1535527,"CrowdStrike Holdings, Inc.",0,2,-0.0391,0.0,0
90,1543151,"Uber Technologies, Inc.",0,3,-0.0398,0.0002,0
90,1553023,"CyrusOne, Inc.",0,1,-0.0399,0.0002,0
90,1564408,Snap Inc.,0,1,-0.0384,0.0,0
90,1590895,"Caesars Entertainment, Inc.",0,1,-0.0399,0.0002,0
90,1609711,GoDaddy.com LLC,1,3,-0.0313,0.0087,0
90,1632127,"Cable One, Inc.",1,2,-0.0358,0.0013,0
90,1640147,Snowflake Inc.,0,2,-0.0391,0.0,0
90,1645590,Hewlett Packard Enterprise Company,0,1,-0.0401,0.0003,0
90,1647088,WillScot Mobile Mini Holdings Corp.,0,1,-0.0382,0.0,0
90,1652044,"Google, Inc.",0,5,-0.0406,0.0005,0
90,1660134,"Okta, Inc.",0,3,-0.0392,0.0,0
90,1669779,CWGS Group,0,1,-0.0372,0.0004,0
90,1702780,"Altice USA, Inc.",1,2,-0.0358,0.0013,0
90,1744489,The Walt Disney Company,0,1,-0.0395,0.0001,0
90,1770450,Xerox Corporation,0,1,-0.0399,0.0002,0
90,1889539,"Corebridge Financial, Inc.",0,1,-0.0262,0.0247,0
90,1971213,"Sinclair Broadcast Group, Inc.",0,3,-0.0422,0.0019,0
90,2041610,Paramount,0,2,-0.0408,0.0006,0
180,4904,American Electric Power,0,2,0.0185,0.0018,0
180,8670,"Automatic Data Processing, Inc.",0,1,0.0212,0.0003,0
180,12927,The Boeing Company,0,1,0.02,0.0008,0
180,14693,Brown-Forman Corporation,0,1,0.0229,0.0,0
180,18926,CenturyLink,1,5,0.0188,0.0016,0
180,20520,Frontier Communications,1,4,0.0191,0.0014,0
180,27904,"Delta Air Lines, Inc.",0,2,0.0189,0.0015,0
180,27996,Deluxe Corporation,0,1,0.0231,0.0,0
180,33185,"Equifax, Inc.",0,4,0.0197,0.001,0
180,40704,"General Mills, Inc.",0,1,0.0216,0.0001,0
180,43196,"Gray Television, Inc.",0,3,0.0226,0.0,0
180,47111,The Hershey Company,0,1,0.0234,0.0,0
180,47217,Hewlett-Packard Company,0,5,0.0203,0.0006,0
180,51143,IBM,0,2,0.0177,0.0025,0
180,51434,International Paper Company,0,1,0.0227,0.0,0
180,62709,"Marsh & McLennan Companies, Inc.",0,1,0.0219,0.0001,0
180,68505,"Motorola, Inc.",0,2,0.0187,0.0016,0
180,73309,Nucor Corporation,0,1,0.0221,0.0,0
180,73756,"Oceaneering International, Inc.",0,1,0.0229,0.0,0
180,75362,PACCAR,0,1,0.0216,0.0001,0
180,76334,Parker-Hannifin Corporation,0,1,0.0217,0.0001,0
180,77476,"PepsiCo, Inc.",0,1,0.0203,0.0006,0
180,78003,Pfizer Inc,0,1,0.0279,0.0026,0
180,91419,The J.M. Smucker Company,0,1,0.0226,0.0,0
180,91440,Snap-on Incorporated,0,1,0.0239,0.0001,0
180,92380,Southwest Airlines Co.,0,2,0.0205,0.0005,0
180,96021,Sysco Corporation,0,1,0.0278,0.0025,0
180,101830,Sprint Nextel,1,12,0.0159,0.0046,0
180,277135,"W.W. Grainger, Inc.",0,2,0.0224,0.0,0
180,315293,Aon Corporation,0,3,0.026,0.001,0
180,318154,Amgen Inc.,0,2,0.0177,0.0026,0
180,319687,United Airlines,0,1,0.0213,0.0002,0
180,320193,Apple Inc.,0,7,0.0104,0.015,0
