final_cik,breach_date,treated,outcome_cik,accession,filing_date,win_lo,win_hi
43196,2016-08-08,0,43196,0001437749-16-024501,2016-02-02,2014-08-09,2017-02-27
43196,2016-08-08,0,43196,0001437749-15-014446,2015-07-31,2014-08-09,2017-02-27
43196,2021-09-01,0,43196,0001437749-22-011229,2022-05-06,2019-09-02,2022-08-20
43196,2021-09-01,0,43196,0001437749-22-004783,2022-03-01,2019-09-02,2022-08-20
43196,2021-09-01,0,43196,0001193125-21-057034,2021-02-25,2019-09-02,2022-08-20
47111,2023-09-03,0,47111,0000047111-23-000006,2023-02-06,2021-09-03,2024-06-04
47217,2007-07-01,0,47217,0001104659-08-004386,2008-01-24,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-07-041277,2007-05-18,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-07-003960,2007-01-23,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-080577,2006-12-11,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-078068,2006-11-28,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-075980,2006-11-17,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-062623,2006-09-22,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-060568,2006-09-12,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-036450,2006-05-22,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-06-002894,2006-01-19,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0001104659-05-057353,2005-11-23,2005-07-01,2008-02-12
47217,2007-07-01,0,47217,0000047217-05-000167,2005-09-28,2005-07-01,2008-02-12
47217,2007-08-16,0,47217,0001104659-08-004386,2008-01-24,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-07-041277,2007-05-18,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-07-003960,2007-01-23,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-080577,2006-12-11,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-078068,2006-11-28,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-075980,2006-11-17,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-062623,2006-09-22,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-060568,2006-09-12,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-036450,2006-05-22,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-06-002894,2006-01-19,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0001104659-05-057353,2005-11-23,2005-08-16,2008-02-12
47217,2007-08-16,0,47217,0000047217-05-000167,2005-09-28,2005-08-16,2008-02-12
47217,2008-12-04,0,47217,0000047217-09-000003,2009-01-20,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0001104659-08-060212,2008-09-24,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0001104659-08-055465,2008-08-27,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0000047217-08-000117,2008-05-20,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0001104659-08-004386,2008-01-24,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0001104659-07-041277,2007-05-18,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0001104659-07-003960,2007-01-23,2006-12-05,2009-06-02
47217,2008-12-04,0,47217,0001104659-06-080577,2006-12-11,2006-12-05,2009-06-02
47217,2008-12-08,0,47217,0000047217-09-000003,2009-01-20,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0001104659-08-060212,2008-09-24,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0001104659-08-055465,2008-08-27,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0000047217-08-000117,2008-05-20,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0001104659-08-004386,2008-01-24,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0001104659-07-041277,2007-05-18,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0001104659-07-003960,2007-01-23,2006-12-09,2009-06-06
47217,2008-12-08,0,47217,0001104659-06-080577,2006-12-11,2006-12-09,2009-06-06
47217,2010-02-09,0,47217,0001047469-10-007177,2010-08-06,2008-02-10,2010-08-08
47217,2010-02-09,0,47217,0001104659-10-015887,2010-03-23,2008-02-10,2010-08-08
