cik,breach_date,executive_change_30d,executive_change_90d,executive_change_180d,num_item5_02_filings_180d,days_to_first_item_5_02
1324404,2025-08-09,1.0,1.0,1.0,4.0,30.0
51143,2007-02-23,0.0,0.0,1.0,2.0,123.0
51143,2011-04-14,0.0,0.0,0.0,0.0,
1034054,2025-03-07,0.0,0.0,0.0,0.0,
1437107,2017-08-31,0.0,1.0,1.0,3.0,77.0
1437107,2024-12-24,1.0,1.0,1.0,7.0,6.0
1437107,2025-04-30,0.0,1.0,1.0,5.0,34.0
713676,2022-10-19,0.0,0.0,0.0,0.0,
713676,2022-10-18,0.0,0.0,0.0,0.0,
1283699,2019-07-01,0.0,0.0,1.0,1.0,140.0
1283699,2018-10-03,1.0,1.0,1.0,3.0,30.0
1324404,2021-01-05,0.0,0.0,0.0,0.0,
713676,2007-11-01,0.0,1.0,1.0,4.0,82.0
51434,2023-05-30,0.0,0.0,1.0,1.0,125.0
896878,2008-05-26,0.0,1.0,1.0,2.0,60.0
896878,2008-09-24,0.0,1.0,1.0,3.0,34.0
896878,2014-04-18,0.0,0.0,1.0,1.0,102.0
896878,2014-04-01,0.0,0.0,1.0,1.0,119.0
896878,2014-02-01,1.0,1.0,1.0,2.0,10.0
896878,2015-04-07,0.0,0.0,0.0,0.0,
896878,2015-04-14,0.0,0.0,0.0,0.0,
896878,2015-05-20,0.0,0.0,1.0,1.0,163.0
896878,2015-09-18,0.0,1.0,1.0,1.0,42.0
896878,2015-10-12,1.0,1.0,1.0,1.0,18.0
896878,2015-12-07,0.0,0.0,1.0,1.0,154.0
896878,2015-12-01,0.0,0.0,1.0,1.0,160.0
896878,2015-12-31,0.0,0.0,1.0,1.0,130.0
896878,2015-12-08,0.0,0.0,1.0,1.0,153.0
896878,2016-01-21,0.0,0.0,1.0,1.0,109.0
896878,2016-02-04,0.0,0.0,1.0,1.0,95.0
896878,2016-03-03,0.0,1.0,1.0,1.0,67.0
896878,2016-03-08,0.0,1.0,1.0,1.0,62.0
896878,2016-03-09,0.0,1.0,1.0,1.0,61.0
896878,2016-03-01,0.0,1.0,1.0,1.0,69.0
896878,2016-02-24,0.0,1.0,1.0,1.0,75.0
896878,2016-02-29,0.0,1.0,1.0,1.0,70.0
896878,2016-02-24,0.0,1.0,1.0,1.0,75.0
896878,2016-03-17,0.0,1.0,1.0,1.0,53.0
896878,2016-03-07,0.0,1.0,1.0,1.0,63.0
